day,hour,station,parameter,value
1,1,28079004,01,2
1,1,28079008,01,4
1,1,28079017,01,11
1,1,28079024,01,3
1,1,28079035,01,6
1,1,28079038,01,3
1,1,28079040,01,7
1,1,28079057,01,14
1,1,28079004,06,0.3
1,1,28079008,06,0.4
1,1,28079016,06,0.3
1,1,28079024,06,0.3
1,1,28079035,06,0.4
1,1,28079039,06,0.3
1,1,28079056,06,0.3
1,1,28079057,06,0.3
1,1,28079004,07,6
1,1,28079008,07,6
1,1,28079011,07,2
1,1,28079016,07,2
1,1,28079017,07,1
1,1,28079024,07,1
1,1,28079027,07,1
1,1,28079035,07,7
1,1,28079038,07,2
1,1,28079039,07,2
1,1,28079040,07,2
1,1,28079047,07,3
1,1,28079048,07,1
1,1,28079049,07,1
1,1,28079050,07,2
1,1,28079054,07,6
1,1,28079055,07,2
1,1,28079056,07,5
1,1,28079057,07,1
1,1,28079058,07,1
1,1,28079059,07,1
1,1,28079060,07,1
1,1,28079004,08,42
1,1,28079008,08,40
1,1,28079011,08,25
1,1,28079016,08,18
1,1,28079017,08,17
1,1,28079024,08,12
1,1,28079027,08,19
1,1,28079035,08,35
1,1,28079038,08,24
1,1,28079039,08,22
1,1,28079040,08,19
1,1,28079047,08,18
1,1,28079048,08,17
1,1,28079049,08,15
1,1,28079050,08,20
1,1,28079054,08,9
1,1,28079055,08,25
1,1,28079056,08,29
1,1,28079057,08,22
1,1,28079058,08,19
1,1,28079059,08,8
1,1,28079060,08,26
1,1,28079008,09,3
1,1,28079024,09,4
1,1,28079038,09,3
1,1,28079047,09,5
1,1,28079048,09,2
1,1,28079050,09,3
1,1,28079008,10,5
1,1,28079024,10,7
1,1,28079038,10,6
1,1,28079040,10,5
1,1,28079047,10,7
1,1,28079048,10,4
1,1,28079050,10,7
1,1,28079055,10,1
1,1,28079057,10,6
1,1,28079060,10,4
1,1,28079008,14,41
1,1,28079016,14,24
1,1,28079017,14,49
1,1,28079024,14,61
1,1,28079027,14,53
1,1,28079035,14,34
1,1,28079039,14,53
1,1,28079049,14,70
1,1,28079054,14,62
1,1,28079056,14,52
1,1,28079058,14,50
1,1,28079059,14,65
1,1,28079060,14,57
1,1,28079008,20,1.2
1,1,28079011,20,2.7
1,1,28079024,20,0.6
1,1,28079038,20,1
1,1,28079055,20,0.6
1,1,28079008,30,0.5
1,1,28079011,30,1.2
1,1,28079024,30,0.2
1,1,28079038,30,0.1
1,1,28079055,30,0.3
1,1,28079008,35,0.1
1,1,28079011,35,0.2
1,1,28079024,35,0.1
1,1,28079038,35,0.1
1,1,28079055,35,0.1
1,1,28079008,42,1.63
1,1,28079024,42,1.21
1,1,28079055,42,1.2
1,1,28079008,44,0.09
1,1,28079024,44,0.06
1,1,28079055,44,0.14
1,10,28079004,01,3
1,10,28079008,01,5
1,10,28079017,01,11
1,10,28079024,01,3
1,10,28079035,01,5
1,10,28079038,01,4
1,10,28079040,01,8
1,10,28079057,01,15
1,10,28079004,06,0.4
1,10,28079008,06,0.6
1,10,28079016,06,0.4
1,10,28079024,06,0.5
1,10,28079035,06,0.4
1,10,28079039,06,0.4
1,10,28079056,06,0.5
1,10,28079057,06,0.5
1,10,28079004,07,31
1,10,28079008,07,58
1,10,28079011,07,34
1,10,28079016,07,7
1,10,28079017,07,3
1,10,28079024,07,3
1,10,28079027,07,1
1,10,28079035,07,41
1,10,28079038,07,32
1,10,28079039,07,20
1,10,28079040,07,14
1,10,28079047,07,25
1,10,28079048,07,7
1,10,28079049,07,5
1,10,28079050,07,11
1,10,28079054,07,36
1,10,28079055,07,44
1,10,28079056,07,52
1,10,28079057,07,36
1,10,28079058,07,9
1,10,28079059,07,5
1,10,28079060,07,15
1,10,28079004,08,76
1,10,28079008,08,87
1,10,28079011,08,73
1,10,28079016,08,57
1,10,28079017,08,38
1,10,28079024,08,41
1,10,28079027,08,23
1,10,28079035,08,75
1,10,28079038,08,66
1,10,28079039,08,66
1,10,28079040,08,66
1,10,28079047,08,72
1,10,28079048,08,59
1,10,28079049,08,59
1,10,28079050,08,56
1,10,28079054,08,68
1,10,28079055,08,74
1,10,28079056,08,93
1,10,28079057,08,74
1,10,28079058,08,43
1,10,28079059,08,28
1,10,28079060,08,71
1,10,28079008,09,5
1,10,28079024,09,6
1,10,28079038,09,6
1,10,28079047,09,10
1,10,28079048,09,3
1,10,28079050,09,6
1,10,28079008,10,11
1,10,28079024,10,10
1,10,28079038,10,11
1,10,28079040,10,14
1,10,28079047,10,17
1,10,28079048,10,7
1,10,28079050,10,11
1,10,28079055,10,13
1,10,28079057,10,15
1,10,28079060,10,9
1,10,28079008,14,14
1,10,28079016,14,9
1,10,28079017,14,33
1,10,28079024,14,32
1,10,28079027,14,49
1,10,28079035,14,8
1,10,28079039,14,16
1,10,28079049,14,29
1,10,28079054,14,19
1,10,28079056,14,16
1,10,28079058,14,21
1,10,28079059,14,33
1,10,28079060,14,20
1,10,28079008,20,3
1,10,28079011,20,4.1
1,10,28079024,20,0.8
1,10,28079038,20,2.6
1,10,28079055,20,1.2
1,10,28079008,30,1.3
1,10,28079011,30,2.3
1,10,28079024,30,0.4
1,10,28079038,30,0.4
1,10,28079055,30,0.7
1,10,28079008,35,0.4
1,10,28079011,35,0.5
1,10,28079024,35,0.1
1,10,28079038,35,0.3
1,10,28079055,35,0.1
1,10,28079008,42,1.69
1,10,28079024,42,1.24
1,10,28079055,42,1.23
1,10,28079008,44,0.15
1,10,28079024,44,0.08
1,10,28079055,44,0.16
1,11,28079004,01,3
1,11,28079008,01,5
1,11,28079017,01,10
1,11,28079024,01,3
1,11,28079035,01,5
1,11,28079038,01,3
1,11,28079040,01,8
1,11,28079057,01,14
1,11,28079004,06,0.4
1,11,28079008,06,0.5
1,11,28079016,06,0.4
1,11,28079024,06,0.4
1,11,28079035,06,0.4
1,11,28079039,06,0.4
1,11,28079056,06,0.4
1,11,28079057,06,0.4
1,11,28079004,07,26
1,11,28079008,07,46
1,11,28079011,07,15
1,11,28079016,07,5
1,11,28079017,07,2
1,11,28079024,07,4
1,11,28079027,07,1
1,11,28079035,07,46
1,11,28079038,07,20
1,11,28079039,07,15
1,11,28079040,07,15
1,11,28079047,07,18
1,11,28079048,07,6
