day,hour,station,parameter,value
1,1,28079004,01,5
1,1,28079008,01,7
1,1,28079017,01,5
1,1,28079018,01,2
1,1,28079024,01,2
1,1,28079035,01,5
1,1,28079036,01,6
1,1,28079038,01,3
1,1,28079040,01,4
1,1,28079057,01,9
1,1,28079004,06,0.2
1,1,28079008,06,0.5
1,1,28079016,06,0.3
1,1,28079018,06,0.2
1,1,28079024,06,0.2
1,1,28079035,06,0.3
1,1,28079036,06,0.2
1,1,28079039,06,0.3
1,1,28079056,06,0.2
1,1,28079057,06,0.3
1,1,28079004,07,3
1,1,28079008,07,11
1,1,28079011,07,2
1,1,28079016,07,1
1,1,28079017,07,2
1,1,28079018,07,2
1,1,28079024,07,1
1,1,28079027,07,1
1,1,28079035,07,6
1,1,28079036,07,2
1,1,28079038,07,8
1,1,28079039,07,3
1,1,28079040,07,4
1,1,28079047,07,1
1,1,28079048,07,3
1,1,28079049,07,1
1,1,28079050,07,26
1,1,28079054,07,1
1,1,28079055,07,2
1,1,28079056,07,5
1,1,28079057,07,1
1,1,28079058,07,1
1,1,28079059,07,2
1,1,28079060,07,2
1,1,28079004,08,29
1,1,28079008,08,61
1,1,28079011,08,21
1,1,28079016,08,25
1,1,28079017,08,22
1,1,28079018,08,17
1,1,28079024,08,9
1,1,28079027,08,26
1,1,28079035,08,40
1,1,28079036,08,35
1,1,28079038,08,23
1,1,28079039,08,31
1,1,28079040,08,38
1,1,28079047,08,22
1,1,28079048,08,27
1,1,28079049,08,23
1,1,28079050,08,36
1,1,28079054,08,37
1,1,28079055,08,36
1,1,28079056,08,34
1,1,28079057,08,29
1,1,28079058,08,20
1,1,28079059,08,21
1,1,28079060,08,38
1,1,28079008,09,10
1,1,28079024,09,3
1,1,28079038,09,8
1,1,28079047,09,13
1,1,28079048,09,9
1,1,28079050,09,9
1,1,28079008,10,19
1,1,28079018,10,12
1,1,28079024,10,8
1,1,28079036,10,28
1,1,28079038,10,12
1,1,28079040,10,18
1,1,28079047,10,24
1,1,28079048,10,14
1,1,28079050,10,17
1,1,28079055,10,27
1,1,28079057,10,36
1,1,28079060,10,32
1,1,28079008,14,25
1,1,28079016,14,55
1,1,28079017,14,56
1,1,28079018,14,60
1,1,28079024,14,60
1,1,28079027,14,47
1,1,28079035,14,42
1,1,28079039,14,53
1,1,28079049,14,50
1,1,28079054,14,51
1,1,28079056,14,53
1,1,28079058,14,36
1,1,28079059,14,62
1,1,28079060,14,48
1,1,28079008,20,3.8
1,1,28079011,20,3
1,1,28079018,20,0.8
1,1,28079024,20,0.1
1,1,28079038,20,1.7
1,1,28079055,20,2.9
1,1,28079008,30,0.7
1,1,28079011,30,1
1,1,28079018,30,0.2
1,1,28079024,30,0.1
1,1,28079038,30,0.1
1,1,28079055,30,0.5
1,1,28079008,35,0.8
1,1,28079011,35,0.3
1,1,28079018,35,0.1
1,1,28079024,35,0.1
1,1,28079038,35,0.2
1,1,28079055,35,0.1
1,1,28079008,42,1.51
1,1,28079024,42,1.2
1,1,28079055,42,1.79
1,1,28079008,44,0.15
1,1,28079024,44,0.01
1,1,28079055,44,0.06
1,10,28079004,01,5
1,10,28079008,01,7
1,10,28079017,01,5
1,10,28079018,01,2
1,10,28079024,01,2
1,10,28079035,01,5
1,10,28079036,01,6
1,10,28079038,01,3
1,10,28079040,01,4
1,10,28079057,01,9
1,10,28079004,06,0.2
1,10,28079008,06,0.3
1,10,28079016,06,0.2
1,10,28079018,06,0.2
1,10,28079024,06,0.2
1,10,28079035,06,0.2
1,10,28079036,06,0.2
1,10,28079039,06,0.2
1,10,28079056,06,0.2
1,10,28079057,06,0.2
1,10,28079004,07,4
1,10,28079008,07,7
1,10,28079011,07,3
1,10,28079016,07,3
1,10,28079017,07,3
1,10,28079018,07,3
1,10,28079024,07,1
1,10,28079027,07,5
1,10,28079035,07,10
1,10,28079036,07,3
1,10,28079038,07,11
1,10,28079039,07,6
1,10,28079040,07,3
1,10,28079047,07,1
1,10,28079048,07,4
1,10,28079049,07,1
1,10,28079050,07,15
1,10,28079054,07,1
1,10,28079055,07,4
1,10,28079056,07,12
1,10,28079057,07,4
1,10,28079058,07,3
1,10,28079059,07,3
1,10,28079060,07,4
1,10,28079004,08,31
1,10,28079008,08,32
1,10,28079011,08,17
1,10,28079016,08,25
1,10,28079017,08,18
1,10,28079018,08,21
1,10,28079024,08,6
1,10,28079027,08,22
1,10,28079035,08,29
1,10,28079036,08,17
1,10,28079038,08,18
1,10,28079039,08,23
1,10,28079040,08,18
