day,hour,station,parameter,value
1,1,28079004,01,2
1,1,28079008,01,2
1,1,28079017,01,3
1,1,28079018,01,1
1,1,28079024,01,1
1,1,28079035,01,2
1,1,28079036,01,4
1,1,28079038,01,1
1,1,28079040,01,1
1,1,28079057,01,2
1,1,28079004,06,0.4
1,1,28079008,06,0.4
1,1,28079016,06,0.4
1,1,28079018,06,0.4
1,1,28079024,06,0.2
1,1,28079035,06,0.3
1,1,28079036,06,0.3
1,1,28079039,06,0.3
1,1,28079056,06,0.7
1,1,28079057,06,0.3
1,1,28079004,07,25
1,1,28079008,07,22
1,1,28079011,07,21
1,1,28079016,07,15
1,1,28079017,07,13
1,1,28079018,07,10
1,1,28079024,07,3
1,1,28079027,07,14
1,1,28079035,07,13
1,1,28079036,07,8
1,1,28079038,07,11
1,1,28079039,07,6
1,1,28079040,07,2
1,1,28079047,07,21
1,1,28079048,07,4
1,1,28079049,07,4
1,1,28079050,07,8
1,1,28079054,07,4
1,1,28079055,07,32
1,1,28079056,07,107
1,1,28079057,07,5
1,1,28079058,07,3
1,1,28079059,07,7
1,1,28079060,07,1
1,1,28079004,08,65
1,1,28079008,08,78
1,1,28079011,08,80
1,1,28079016,08,77
1,1,28079017,08,66
1,1,28079018,08,55
1,1,28079024,08,32
1,1,28079027,08,65
1,1,28079035,08,47
1,1,28079036,08,63
1,1,28079038,08,60
1,1,28079039,08,72
1,1,28079040,08,58
1,1,28079047,08,79
1,1,28079048,08,71
1,1,28079049,08,65
1,1,28079050,08,71
1,1,28079054,08,38
1,1,28079055,08,79
1,1,28079056,08,93
1,1,28079057,08,70
1,1,28079058,08,23
1,1,28079059,08,49
1,1,28079060,08,51
1,1,28079008,09,13
1,1,28079024,09,9
1,1,28079038,09,9
1,1,28079047,09,11
1,1,28079048,09,11
1,1,28079050,09,16
1,1,28079008,10,18
1,1,28079018,10,18
1,1,28079024,10,17
1,1,28079036,10,15
1,1,28079038,10,18
1,1,28079040,10,17
1,1,28079047,10,19
1,1,28079048,10,17
1,1,28079050,10,25
1,1,28079055,10,29
1,1,28079057,10,41
1,1,28079060,10,23
1,1,28079008,14,7
1,1,28079016,14,4
1,1,28079017,14,2
1,1,28079018,14,10
1,1,28079024,14,30
1,1,28079027,14,6
1,1,28079035,14,26
1,1,28079039,14,7
1,1,28079049,14,5
1,1,28079054,14,36
1,1,28079056,14,3
1,1,28079058,14,11
1,1,28079059,14,11
1,1,28079060,14,18
1,1,28079008,20,5.3
1,1,28079011,20,7.8
1,1,28079018,20,2.9
1,1,28079038,20,3.7
1,1,28079055,20,2.6
1,1,28079008,30,1.2
1,1,28079011,30,3.5
1,1,28079018,30,0.3
1,1,28079038,30,0.5
1,1,28079055,30,0.7
1,1,28079008,35,1.2
1,1,28079011,35,2.1
1,1,28079018,35,0.2
1,1,28079038,35,0.8
1,1,28079055,35,0.5
1,1,28079024,42,1.34
1,1,28079027,42,1.39
1,1,28079055,42,1.57
1,1,28079024,44,0.23
1,1,28079027,44,0.16
1,1,28079055,44,0.18
1,10,28079004,01,8
1,10,28079008,01,5
1,10,28079017,01,6
1,10,28079018,01,4
1,10,28079024,01,1
1,10,28079035,01,4
1,10,28079036,01,6
1,10,28079038,01,5
1,10,28079040,01,3
1,10,28079057,01,3
1,10,28079004,06,1.1
1,10,28079008,06,0.7
1,10,28079016,06,0.4
1,10,28079018,06,0.7
1,10,28079024,06,0.2
1,10,28079035,06,0.6
1,10,28079036,06,0.5
1,10,28079039,06,0.4
1,10,28079056,06,1.1
1,10,28079057,06,0.3
1,10,28079004,07,246
1,10,28079008,07,98
1,10,28079011,07,41
