day,hour,station,parameter,value
1,1,28079004,01,5
1,1,28079008,01,10
1,1,28079017,01,4
1,1,28079018,01,4
1,1,28079024,01,2
1,1,28079035,01,6
1,1,28079036,01,9
1,1,28079038,01,7
1,1,28079040,01,5
1,1,28079057,01,9
1,1,28079004,06,0.3
1,1,28079008,06,0.3
1,1,28079016,06,0.5
1,1,28079018,06,0.4
1,1,28079024,06,0.3
1,1,28079035,06,0.4
1,1,28079036,06,0.4
1,1,28079039,06,0.5
1,1,28079056,06,0.5
1,1,28079057,06,0.6
1,1,28079004,07,7
1,1,28079008,07,17
1,1,28079011,07,9
1,1,28079016,07,17
1,1,28079017,07,18
1,1,28079018,07,3
1,1,28079024,07,1
1,1,28079027,07,69
1,1,28079035,07,6
1,1,28079036,07,18
1,1,28079038,07,9
1,1,28079039,07,17
1,1,28079040,07,14
1,1,28079047,07,26
1,1,28079048,07,6
1,1,28079049,07,11
1,1,28079050,07,28
1,1,28079054,07,22
1,1,28079055,07,127
1,1,28079056,07,22
1,1,28079057,07,70
1,1,28079058,07,4
1,1,28079059,07,86
1,1,28079060,07,7
1,1,28079004,08,53
1,1,28079008,08,66
1,1,28079011,08,42
1,1,28079016,08,63
1,1,28079017,08,65
1,1,28079018,08,36
1,1,28079024,08,25
1,1,28079027,08,74
1,1,28079035,08,47
1,1,28079036,08,79
1,1,28079038,08,38
1,1,28079039,08,78
1,1,28079040,08,70
1,1,28079047,08,79
1,1,28079048,08,44
1,1,28079049,08,54
1,1,28079050,08,57
1,1,28079054,08,69
1,1,28079055,08,96
1,1,28079056,08,72
1,1,28079057,08,93
1,1,28079058,08,43
1,1,28079059,08,75
1,1,28079060,08,64
1,1,28079008,09,13
1,1,28079024,09,11
1,1,28079038,09,12
1,1,28079047,09,14
1,1,28079048,09,12
1,1,28079050,09,6
1,1,28079008,10,16
1,1,28079018,10,11
1,1,28079024,10,12
1,1,28079036,10,18
1,1,28079038,10,12
1,1,28079040,10,15
1,1,28079047,10,17
1,1,28079048,10,17
1,1,28079050,10,15
1,1,28079055,10,21
1,1,28079057,10,34
1,1,28079060,10,7
1,1,28079008,14,16
1,1,28079016,14,18
1,1,28079017,14,7
1,1,28079018,14,37
1,1,28079024,14,45
1,1,28079027,14,3
1,1,28079035,14,19
1,1,28079039,14,8
1,1,28079049,14,14
1,1,28079054,14,4
1,1,28079056,14,9
1,1,28079058,14,14
1,1,28079059,14,4
1,1,28079060,14,13
1,1,28079008,20,4.4
1,1,28079011,20,6.2
1,1,28079018,20,3.2
1,1,28079024,20,1
1,1,28079038,20,2.2
1,1,28079055,20,6.8
1,1,28079008,30,1.2
1,1,28079011,30,2.5
1,1,28079018,30,0.6
1,1,28079024,30,0.6
1,1,28079038,30,0.2
1,1,28079055,30,1.6
1,1,28079008,35,1.2
1,1,28079011,35,1.2
1,1,28079018,35,0.2
1,1,28079024,35,0.4
1,1,28079038,35,0.3
1,1,28079055,35,1.5
1,1,28079008,42,1.31
1,1,28079024,42,1.22
1,1,28079027,42,1.81
1,1,28079055,42,2.22
1,1,28079058,42,1.93
1,1,28079008,44,0.2
1,1,28079024,44,0.12
1,1,28079027,44,0.38
1,1,28079055,44,0.32
1,1,28079058,44,0.37
1,10,28079004,01,11
1,10,28079008,01,23
1,10,28079017,01,7
1,10,28079018,01,10
1,10,28079024,01,4
1,10,28079035,01,12
1,10,28079036,01,23
1,10,28079038,01,27
1,10,28079040,01,14
1,10,28079057,01,11
1,10,28079004,06,1.2
1,10,28079008,06,1.4
1,10,28079016,06,1
1,10,28079018,06,1.2
1,10,28079024,06,0.4
1,10,28079035,06,1
1,10,28079036,06,1.3
1,10,28079039,06,1.7
1,10,28079056,06,1.5
1,10,28079057,06,0.8
1,10,28079004,07,250
1,10,28079008,07,324
1,10,28079011,07,251
1,10,28079016,07,154
1,10,28079017,07,166
1,10,28079018,07,165
1,10,28079024,07,67
1,10,28079027,07,156
1,10,28079035,07,208
1,10,28079036,07,139
1,10,28079038,07,419
1,10,28079039,07,387
1,10,28079040,07,273
1,10,28079047,07,224
1,10,28079048,07,214
1,10,28079049,07,256
1,10,28079050,07,279
1,10,28079054,07,175
1,10,28079055,07,234
1,10,28079056,07,371
1,10,28079057,07,113
1,10,28079058,07,78
1,10,28079059,07,139
1,10,28079060,07,178
1,10,28079004,08,83
1,10,28079008,08,112
1,10,28079011,08,105
1,10,28079016,08,87
1,10,28079017,08,87
1,10,28079018,08,75
1,10,28079024,08,53
1,10,28079027,08,90
1,10,28079035,08,94
1,10,28079036,08,80
1,10,28079038,08,118
1,10,28079039,08,150
1,10,28079040,08,115
1,10,28079047,08,98
1,10,28079048,08,91
1,10,28079049,08,95
1,10,28079050,08,127
1,10,28079054,08,77
1,10,28079055,08,119
1,10,28079056,08,153
1,10,28079057,08,84
1,10,28079058,08,50
1,10,28079059,08,74
1,10,28079060,08,94
1,10,28079008,09,39
1,10,28079024,09,16
1,10,28079038,09,38
1,10,28079047,09,28
1,10,28079048,09,33
1,10,28079050,09,20
1,10,28079008,10,67
1,10,28079018,10,74
1,10,28079024,10,21
1,10,28079036,10,43
1,10,28079038,10,66
1,10,28079040,10,59
1,10,28079047,10,40
1,10,28079048,10,54
1,10,28079050,10,54
1,10,28079055,10,37
1,10,28079057,10,36
1,10,28079060,10,36
1,10,28079008,14,18
1,10,28079016,14,2
1,10,28079017,14,4
1,10,28079018,14,5
1,10,28079024,14,7
1,10,28079027,14,4
1,10,28079035,14,3
1,10,28079039,14,4
1,10,28079049,14,2
1,10,28079054,14,6
1,10,28079056,14,5
1,10,28079058,14,6
1,10,28079059,14,6
1,10,28079060,14,4
1,10,28079008,20,20.1
1,10,28079011,20,17.8
1,10,28079018,20,8.8
1,10,28079024,20,2.6
1,10,28079038,20,22.5
1,10,28079055,20,8.1
1,10,28079008,30,4.3
1,10,28079011,30,4.7
1,10,28079018,30,2
1,10,28079024,30,1.1
1,10,28079038,30,4.9
1,10,28079055,30,3.4
1,10,28079008,35,5.9
1,10,28079011,35,0.9
1,10,28079018,35,1.3
1,10,28079024,35,0.6
1,10,28079038,35,4.1
1,10,28079055,35,1.5
1,10,28079008,42,1.94
1,10,28079024,42,1.56
1,10,28079027,42,1.99
1,10,28079055,42,2.1
1,10,28079058,42,2.21
1,10,28079008,44,0.48
1,10,28079024,44,0.17
1,10,28079027,44,0.36
1,10,28079055,44,0.39
1,10,28079058,44,0.46
1,11,28079004,01,17
1,11,28079008,01,28
1,11,28079017,01,7
1,11,28079018,01,15
1,11,28079024,01,7
1,11,28079035,01,14
1,11,28079036,01,28
1,11,28079038,01,33
1,11,28079040,01,13
1,11,28079057,01,12
1,11,28079004,06,1.6
1,11,28079008,06,1.4
1,11,28079016,06,0.7
1,11,28079018,06,1.2
1,11,28079024,06,0.7
1,11,28079035,06,1.2
1,11,28079036,06,1
1,11,28079039,06,1.4
1,11,28079056,06,1.1
1,11,28079057,06,0.8
1,11,28079004,07,297
1,11,28079008,07,371
1,11,28079011,07,242
1,11,28079016,07,118
1,11,28079017,07,129
1,11,28079018,07,225
1,11,28079024,07,141
1,11,28079027,07,92
1,11,28079035,07,269
1,11,28079036,07,141
1,11,28079038,07,333
1,11,28079039,07,311
1,11,28079040,07,205
1,11,28079047,07,298
1,11,28079048,07,325
1,11,28079049,07,342
1,11,28079050,07,367
1,11,28079054,07,124
1,11,28079055,07,98
1,11,28079056,07,263
1,11,28079057,07,132
1,11,28079058,07,73
1,11,28079059,07,118
1,11,28079060,07,219
1,11,28079004,08,100
1,11,28079008,08,125
1,11,28079011,08,97
1,11,28079016,08,81
1,11,28079017,08,77
1,11,28079018,08,97
1,11,28079024,08,79
1,11,28079027,08,66
1,11,28079035,08,119
1,11,28079036,08,82
1,11,28079038,08,107
1,11,28079039,08,131
1,11,28079040,08,101
1,11,28079047,08,123
1,11,28079048,08,129
1,11,28079049,08,130
1,11,28079050,08,158
1,11,28079054,08,69
1,11,28079055,08,76
1,11,28079056,08,128
1,11,28079057,08,89
1,11,28079058,08,57
1,11,28079059,08,78
1,11,28079060,08,108
1,11,28079008,09,44
1,11,28079024,09,23
1,11,28079038,09,49
1,11,28079047,09,44
1,11,28079048,09,45
1,11,28079050,09,25
1,11,28079008,10,78
1,11,28079018,10,57
1,11,28079024,10,31
1,11,28079036,10,43
1,11,28079038,10,68
1,11,28079040,10,59
1,11,28079047,10,72
1,11,28079048,10,73
1,11,28079050,10,79
1,11,28079055,10,26
1,11,28079057,10,47
1,11,28079060,10,53
1,11,28079008,14,23
1,11,28079016,14,5
1,11,28079017,14,7
1,11,28079018,14,6
1,11,28079024,14,9
1,11,28079027,14,10
1,11,28079035,14,3
1,11,28079039,14,5
1,11,28079049,14,1
1,11,28079054,14,10
1,11,28079056,14,7
1,11,28079058,14,9
1,11,28079059,14,11
1,11,28079060,14,6
1,11,28079008,20,18.1
1,11,28079011,20,19.1
1,11,28079018,20,11
1,11,28079024,20,3.3
1,11,28079038,20,20.7
1,11,28079055,20,7.8
1,11,28079008,30,4.2
1,11,28079011,30,4.9
1,11,28079018,30,2
1,11,28079024,30,1.5
1,11,28079038,30,4
1,11,28079055,30,2.7
1,11,28079008,35,5.9
1,11,28079011,35,0.6
1,11,28079018,35,1.3
1,11,28079024,35,0.6
1,11,28079038,35,4
1,11,28079055,35,1.4
1,11,28079008,42,2.12
1,11,28079024,42,1.68
1,11,28079027,42,1.67
1,11,28079055,42,1.77
1,11,28079058,42,2.18
1,11,28079008,44,0.51
1,11,28079024,44,0.23
1,11,28079027,44,0.3
1,11,28079055,44,0.26
1,11,28079058,44,0.47
1,12,28079004,01,16
1,12,28079008,01,23
1,12,28079017,01,8
1,12,28079018,01,13
1,12,28079024,01,13
1,12,28079035,01,15
1,12,28079036,01,16
1,12,28079038,01,28
1,12,28079040,01,10
1,12,28079057,01,17
1,12,28079004,06,1
1,12,28079008,06,0.8
1,12,28079016,06,0.9
1,12,28079018,06,0.9
1,12,28079024,06,1
1,12,28079035,06,0.9
1,12,28079036,06,0.9
1,12,28079056,06,0.8
1,12,28079057,06,1
1,12,28079004,07,201
1,12,28079008,07,229
1,12,28079011,07,323
1,12,28079016,07,156
1,12,28079017,07,162
1,12,28079018,07,164
1,12,28079024,07,208
1,12,28079027,07,65
1,12,28079035,07,264
1,12,28079036,07,162
1,12,28079038,07,209
1,12,28079039,07,197
1,12,28079040,07,103
1,12,28079047,07,134
1,12,28079048,07,280
1,12,28079049,07,183
1,12,28079050,07,252
1,12,28079054,07,71
1,12,28079055,07,102
1,12,28079056,07,193
1,12,28079057,07,165
1,12,28079058,07,104
1,12,28079059,07,82
1,12,28079060,07,177
1,12,28079004,08,99
1,12,28079008,08,101
1,12,28079011,08,132
1,12,28079016,08,94
1,12,28079017,08,84
1,12,28079018,08,98
1,12,28079024,08,115
1,12,28079027,08,59
1,12,28079035,08,116
1,12,28079036,08,100
1,12,28079038,08,93
1,12,28079039,08,98
1,12,28079040,08,77
1,12,28079047,08,86
1,12,28079048,08,136
1,12,28079049,08,101
1,12,28079050,08,127
1,12,28079054,08,57
1,12,28079055,08,79
1,12,28079056,08,112
1,12,28079057,08,105
1,12,28079058,08,97
1,12,28079059,08,64
1,12,28079060,08,102
1,12,28079008,09,42
1,12,28079024,09,38
1,12,28079038,09,39
1,12,28079047,09,31
1,12,28079048,09,39
1,12,28079050,09,24
1,12,28079008,10,76
1,12,28079018,10,56
1,12,28079024,10,58
1,12,28079036,10,59
1,12,28079038,10,50
1,12,28079040,10,39
1,12,28079047,10,44
1,12,28079048,10,69
1,12,28079050,10,62
1,12,28079055,10,35
1,12,28079057,10,48
1,12,28079060,10,44
1,12,28079008,14,24
1,12,28079016,14,5
1,12,28079017,14,7
1,12,28079018,14,9
1,12,28079024,14,10
1,12,28079027,14,16
1,12,28079035,14,3
1,12,28079039,14,5
1,12,28079049,14,2
1,12,28079054,14,16
1,12,28079056,14,8
1,12,28079058,14,11
1,12,28079059,14,15
1,12,28079060,14,9
1,12,28079008,20,18.6
1,12,28079011,20,23.8
1,12,28079018,20,15.6
1,12,28079024,20,8.3
1,12,28079038,20,19.4
1,12,28079055,20,6.5
1,12,28079008,30,3.8
1,12,28079011,30,5.2
1,12,28079018,30,1.9
1,12,28079024,30,2
1,12,28079038,30,2.8
1,12,28079055,30,1.4
1,12,28079008,35,5.4
1,12,28079011,35,0.4
1,12,28079018,35,3.6
1,12,28079024,35,1
1,12,28079038,35,3.4
1,12,28079055,35,1
1,12,28079008,42,1.99
1,12,28079024,42,1.96
1,12,28079027,42,1.64
1,12,28079055,42,1.77
1,12,28079058,42,2.17
1,12,28079008,44,0.4
1,12,28079024,44,0.35
1,12,28079027,44,0.3
1,12,28079055,44,0.25
1,12,28079058,44,0.49
1,13,28079004,01,15
1,13,28079008,01,21
1,13,28079017,01,7
1,13,28079018,01,14
1,13,28079024,01,11
1,13,28079035,01,19
1,13,28079036,01,14
1,13,28079038,01,14
1,13,28079040,01,11
1,13,28079057,01,14
1,13,28079004,06,0.8
1,13,28079008,06,0.7
1,13,28079016,06,1
1,13,28079018,06,0.9
1,13,28079024,06,0.7
1,13,28079035,06,0.7
1,13,28079036,06,0.7
1,13,28079039,06,0.5
1,13,28079056,06,0.8
1,13,28079057,06,0.8
1,13,28079004,07,139
1,13,28079008,07,143
1,13,28079011,07,90
1,13,28079016,07,179
1,13,28079017,07,103
1,13,28079018,07,158
1,13,28079024,07,136
1,13,28079027,07,116
1,13,28079035,07,159
1,13,28079036,07,116
1,13,28079038,07,64
1,13,28079039,07,60
1,13,28079040,07,110
1,13,28079047,07,138
1,13,28079048,07,128
1,13,28079049,07,116
1,13,28079050,07,92
1,13,28079054,07,77
1,13,28079055,07,148
1,13,28079056,07,173
1,13,28079057,07,139
1,13,28079058,07,28
1,13,28079059,07,143
1,13,28079060,07,54
1,13,28079004,08,98
1,13,28079008,08,90
1,13,28079011,08,77
1,13,28079016,08,112
1,13,28079017,08,82
1,13,28079018,08,102
1,13,28079024,08,103
1,13,28079027,08,93
1,13,28079035,08,105
1,13,28079036,08,92
1,13,28079038,08,62
1,13,28079039,08,67
1,13,28079040,08,91
1,13,28079047,08,103
1,13,28079048,08,112
1,13,28079049,08,95
1,13,28079050,08,75
1,13,28079054,08,68
1,13,28079055,08,97
1,13,28079056,08,114
1,13,28079057,08,94
1,13,28079058,08,57
1,13,28079059,08,87
1,13,28079060,08,62
1,13,28079008,09,29
1,13,28079024,09,34
1,13,28079038,09,13
1,13,28079047,09,33
1,13,28079048,09,16
1,13,28079050,09,8
1,13,28079008,10,51
1,13,28079018,10,58
1,13,28079024,10,55
1,13,28079036,10,41
1,13,28079038,10,18
1,13,28079040,10,44
1,13,28079047,10,54
1,13,28079048,10,34
1,13,28079050,10,25
1,13,28079055,10,46
1,13,28079057,10,71
1,13,28079060,10,25
1,13,28079008,14,25
1,13,28079016,14,7
1,13,28079017,14,16
1,13,28079018,14,10
1,13,28079024,14,14
1,13,28079027,14,13
1,13,28079035,14,4
1,13,28079039,14,24
1,13,28079049,14,4
1,13,28079054,14,18
1,13,28079056,14,11
1,13,28079058,14,32
1,13,28079059,14,11
1,13,28079060,14,19
1,13,28079008,20,12.9
1,13,28079011,20,20
1,13,28079018,20,17.1
1,13,28079024,20,13.3
1,13,28079038,20,9.1
1,13,28079055,20,9.3
1,13,28079008,30,3
1,13,28079011,30,4.5
1,13,28079018,30,1.8
1,13,28079024,30,2.5
1,13,28079038,30,0.4
1,13,28079055,30,1.6
1,13,28079008,35,4.5
1,13,28079011,35,0.9
1,13,28079018,35,2.6
1,13,28079024,35,2.3
1,13,28079038,35,1.6
1,13,28079055,35,1.2
1,13,28079008,42,1.99
1,13,28079024,42,2.13
1,13,28079027,42,1.76
1,13,28079055,42,1.79
1,13,28079058,42,1.83
1,13,28079008,44,0.38
1,13,28079024,44,0.32
1,13,28079027,44,0.39
1,13,28079055,44,0.27
1,13,28079058,44,0.38
1,14,28079004,01,10
1,14,28079008,01,16
1,14,28079017,01,4
1,14,28079018,01,6
1,14,28079024,01,6
1,14,28079035,01,18
1,14,28079036,01,13
1,14,28079038,01,13
1,14,28079040,01,9
1,14,28079057,01,16
1,14,28079004,06,0.5
1,14,28079008,06,0.5
1,14,28079016,06,0.7
1,14,28079018,06,0.5
1,14,28079024,06,0.4
1,14,28079035,06,0.5
1,14,28079036,06,0.6
1,14,28079039,06,0.4
1,14,28079056,06,0.4
1,14,28079057,06,0.8
1,14,28079004,07,58
1,14,28079008,07,96
1,14,28079011,07,87
1,14,28079016,07,110
1,14,28079017,07,20
1,14,28079018,07,35
1,14,28079024,07,38
1,14,28079027,07,109
1,14,28079035,07,75
1,14,28079036,07,87
1,14,28079038,07,85
1,14,28079039,07,55
1,14,28079040,07,77
1,14,28079047,07,74
1,14,28079048,07,65
1,14,28079049,07,61
1,14,28079050,07,98
1,14,28079054,07,73
1,14,28079055,07,120
1,14,28079056,07,18
1,14,28079057,07,119
1,14,28079058,07,28
1,14,28079059,07,115
1,14,28079060,07,82
