day,hour,station,parameter,value
1,1,28079004,01,6
1,1,28079008,01,7
1,1,28079017,01,10
1,1,28079018,01,7
1,1,28079024,01,3
1,1,28079035,01,7
1,1,28079036,01,5
1,1,28079038,01,5
1,1,28079040,01,4
1,1,28079057,01,10
1,1,28079004,06,0.7
1,1,28079008,06,0.4
1,1,28079016,06,0.4
1,1,28079018,06,0.8
1,1,28079024,06,0.4
1,1,28079035,06,0.5
1,1,28079036,06,0.5
1,1,28079039,06,0.4
1,1,28079056,06,1
1,1,28079057,06,0.4
1,1,28079004,07,61
1,1,28079008,07,20
1,1,28079011,07,4
1,1,28079016,07,7
1,1,28079017,07,83
1,1,28079018,07,42
1,1,28079024,07,4
1,1,28079027,07,2
1,1,28079035,07,15
1,1,28079036,07,7
1,1,28079038,07,12
1,1,28079039,07,6
1,1,28079040,07,11
1,1,28079047,07,22
1,1,28079048,07,12
1,1,28079049,07,9
1,1,28079050,07,1
1,1,28079054,07,11
1,1,28079055,07,4
1,1,28079056,07,134
1,1,28079057,07,2
1,1,28079058,07,1
1,1,28079059,07,3
1,1,28079060,07,2
1,1,28079004,08,65
1,1,28079008,08,58
1,1,28079011,08,45
1,1,28079016,08,43
1,1,28079017,08,63
1,1,28079018,08,74
1,1,28079024,08,56
1,1,28079027,08,44
1,1,28079035,08,67
1,1,28079036,08,50
1,1,28079038,08,69
1,1,28079039,08,67
1,1,28079040,08,77
1,1,28079047,08,67
1,1,28079048,08,63
1,1,28079049,08,32
1,1,28079050,08,48
1,1,28079054,08,58
1,1,28079055,08,37
1,1,28079056,08,95
1,1,28079057,08,37
1,1,28079058,08,26
1,1,28079059,08,19
1,1,28079060,08,48
1,1,28079008,09,12
1,1,28079024,09,10
1,1,28079038,09,10
1,1,28079047,09,13
1,1,28079048,09,11
1,1,28079050,09,9
1,1,28079008,10,21
1,1,28079018,10,23
1,1,28079024,10,14
1,1,28079036,10,19
1,1,28079040,10,19
1,1,28079047,10,20
1,1,28079048,10,17
1,1,28079050,10,14
1,1,28079055,10,9
1,1,28079057,10,14
1,1,28079060,10,13
1,1,28079008,14,12
1,1,28079016,14,23
1,1,28079017,14,7
1,1,28079018,14,12
1,1,28079024,14,9
1,1,28079027,14,20
1,1,28079035,14,9
1,1,28079039,14,9
1,1,28079049,14,9
1,1,28079054,14,11
1,1,28079056,14,5
1,1,28079058,14,9
1,1,28079059,14,30
1,1,28079060,14,23
1,1,28079008,20,3.6
1,1,28079011,20,4.2
1,1,28079024,20,0.2
1,1,28079038,20,2.8
1,1,28079008,30,0.7
1,1,28079011,30,1.9
1,1,28079024,30,0.1
1,1,28079038,30,0.6
1,1,28079008,35,0.4
1,1,28079011,35,0.3
1,1,28079024,35,0.1
1,1,28079038,35,0.6
1,1,28079008,42,1.38
1,1,28079024,42,1.37
1,1,28079008,44,0.17
1,1,28079024,44,0.27
1,10,28079004,01,6
1,10,28079008,01,8
1,10,28079017,01,8
1,10,28079018,01,6
1,10,28079024,01,4
1,10,28079035,01,7
1,10,28079036,01,5
1,10,28079038,01,5
1,10,28079040,01,5
1,10,28079057,01,12
1,10,28079004,06,0.4
1,10,28079008,06,0.4
1,10,28079016,06,0.4
1,10,28079018,06,0.5
1,10,28079024,06,0.4
1,10,28079035,06,0.4
1,10,28079036,06,0.4
1,10,28079039,06,0.5
1,10,28079056,06,0.6
1,10,28079057,06,0.5
1,10,28079004,07,32
1,10,28079008,07,45
1,10,28079011,07,73
1,10,28079016,07,33
1,10,28079017,07,22
1,10,28079018,07,27
1,10,28079024,07,19
1,10,28079027,07,17
1,10,28079035,07,40
1,10,28079036,07,13
1,10,28079038,07,29
1,10,28079039,07,27
1,10,28079040,07,18
1,10,28079047,07,9
1,10,28079048,07,31
1,10,28079049,07,16
1,10,28079050,07,25
1,10,28079054,07,15
1,10,28079055,07,31
1,10,28079056,07,80
1,10,28079057,07,52
1,10,28079058,07,4
1,10,28079059,07,31
1,10,28079060,07,17
1,10,28079004,08,59
1,10,28079008,08,59
1,10,28079011,08,81
1,10,28079016,08,67
