day,hour,station,parameter,value
1,1,28079004,01,7
1,1,28079008,01,18
1,1,28079017,01,18
1,1,28079018,01,8
1,1,28079024,01,4
1,1,28079036,01,6
1,1,28079038,01,8
1,1,28079040,01,8
1,1,28079057,01,13
1,1,28079004,06,0.7
1,1,28079008,06,1.1
1,1,28079016,06,1
1,1,28079018,06,0.5
1,1,28079024,06,0.8
1,1,28079035,06,1.2
1,1,28079036,06,0.7
1,1,28079039,06,2.4
1,1,28079056,06,0.5
1,1,28079057,06,1
1,1,28079004,07,153
1,1,28079008,07,260
1,1,28079011,07,297
1,1,28079016,07,154
1,1,28079017,07,275
1,1,28079018,07,66
1,1,28079024,07,57
1,1,28079027,07,52
1,1,28079035,07,205
1,1,28079036,07,114
1,1,28079038,07,166
1,1,28079039,07,475
1,1,28079040,07,74
1,1,28079047,07,168
1,1,28079048,07,150
1,1,28079049,07,81
1,1,28079050,07,307
1,1,28079054,07,160
1,1,28079055,07,72
1,1,28079056,07,67
1,1,28079057,07,181
1,1,28079058,07,4
1,1,28079059,07,99
1,1,28079060,07,79
1,1,28079004,08,77
1,1,28079008,08,144
1,1,28079011,08,139
1,1,28079016,08,113
1,1,28079017,08,127
1,1,28079018,08,82
1,1,28079024,08,66
1,1,28079027,08,78
1,1,28079035,08,85
1,1,28079036,08,91
1,1,28079038,08,114
1,1,28079039,08,165
1,1,28079040,08,109
1,1,28079047,08,93
1,1,28079048,08,85
1,1,28079049,08,97
1,1,28079050,08,134
1,1,28079054,08,113
1,1,28079055,08,84
1,1,28079056,08,83
1,1,28079057,08,109
1,1,28079058,08,36
1,1,28079059,08,66
1,1,28079060,08,103
1,1,28079008,09,24
1,1,28079024,09,15
1,1,28079038,09,27
1,1,28079047,09,26
1,1,28079048,09,21
1,1,28079050,09,35
1,1,28079008,10,46
1,1,28079018,10,27
1,1,28079024,10,23
1,1,28079036,10,37
1,1,28079038,10,45
1,1,28079040,10,38
1,1,28079047,10,41
1,1,28079048,10,31
1,1,28079050,10,55
1,1,28079055,10,21
1,1,28079057,10,42
1,1,28079060,10,29
1,1,28079008,14,4
1,1,28079016,14,2
1,1,28079017,14,2
1,1,28079018,14,1
1,1,28079024,14,3
1,1,28079027,14,1
1,1,28079035,14,6
1,1,28079039,14,5
1,1,28079049,14,1
1,1,28079054,14,1
1,1,28079056,14,6
1,1,28079058,14,11
1,1,28079059,14,7
1,1,28079060,14,4
1,1,28079008,20,14.4
1,1,28079011,20,26
1,1,28079018,20,6
1,1,28079024,20,5
1,1,28079038,20,16.3
1,1,28079055,20,6.9
1,1,28079008,30,3.1
1,1,28079011,30,5.9
1,1,28079018,30,0.9
1,1,28079024,30,0.7
1,1,28079038,30,2.5
1,1,28079055,30,1.4
1,1,28079008,35,2
1,1,28079011,35,7.5
1,1,28079018,35,0.5
1,1,28079024,35,0.4
1,1,28079038,35,3.3
1,1,28079055,35,1.3
1,1,28079008,42,2.44
1,1,28079024,42,1.35
1,1,28079055,42,1.5
1,1,28079008,44,0.53
1,1,28079024,44,0.13
1,1,28079055,44,0.2
1,10,28079004,01,6
1,10,28079008,01,8
1,10,28079017,01,13
1,10,28079018,01,7
1,10,28079024,01,3
1,10,28079036,01,7
1,10,28079038,01,3
1,10,28079040,01,6
1,10,28079057,01,7
1,10,28079004,06,0.6
1,10,28079008,06,0.4
1,10,28079016,06,0.4
1,10,28079018,06,0.4
1,10,28079024,06,0.5
1,10,28079035,06,0.5
1,10,28079036,06,0.4
1,10,28079039,06,0.8
1,10,28079056,06,0.4
1,10,28079057,06,0.4
1,10,28079004,07,119
1,10,28079008,07,14
1,10,28079011,07,24
1,10,28079016,07,19
1,10,28079017,07,88
1,10,28079018,07,26
1,10,28079024,07,15
1,10,28079027,07,27
1,10,28079035,07,51
1,10,28079036,07,44
1,10,28079038,07,7
1,10,28079039,07,125
1,10,28079040,07,9
1,10,28079047,07,73
1,10,28079048,07,5
1,10,28079049,07,5
1,10,28079050,07,7
1,10,28079054,07,39
1,10,28079055,07,43
1,10,28079056,07,40
1,10,28079057,07,10
1,10,28079058,07,6
1,10,28079059,07,4
1,10,28079060,07,15
1,10,28079004,08,41
1,10,28079008,08,47
1,10,28079011,08,49
1,10,28079016,08,39
1,10,28079017,08,59
1,10,28079018,08,39
1,10,28079024,08,23
1,10,28079027,08,36
1,10,28079035,08,46
1,10,28079036,08,48
1,10,28079038,08,27
1,10,28079039,08,56
1,10,28079040,08,36
1,10,28079047,08,50
1,10,28079048,08,37
1,10,28079049,08,40
