day,hour,station,parameter,value
1,1,28079004,01,7
1,1,28079008,01,11
1,1,28079017,01,10
1,1,28079018,01,5
1,1,28079024,01,3
1,1,28079035,01,8
1,1,28079036,01,8
1,1,28079038,01,9
1,1,28079040,01,11
1,1,28079057,01,7
1,1,28079004,06,0.5
1,1,28079008,06,0.9
1,1,28079016,06,0.5
1,1,28079018,06,0.9
1,1,28079024,06,0.4
1,1,28079035,06,0.9
1,1,28079036,06,0.8
1,1,28079039,06,1
1,1,28079056,06,0.6
1,1,28079057,06,0.6
1,1,28079004,07,103
1,1,28079008,07,159
1,1,28079011,07,110
1,1,28079016,07,65
1,1,28079017,07,256
1,1,28079018,07,64
1,1,28079024,07,57
1,1,28079027,07,13
1,1,28079035,07,119
1,1,28079036,07,160
1,1,28079038,07,231
1,1,28079039,07,208
1,1,28079040,07,236
1,1,28079047,07,101
1,1,28079048,07,103
1,1,28079049,07,196
1,1,28079050,07,99
1,1,28079054,07,177
1,1,28079055,07,23
1,1,28079056,07,77
1,1,28079057,07,47
1,1,28079058,07,1
1,1,28079059,07,9
1,1,28079060,07,82
1,1,28079004,08,53
1,1,28079008,08,119
1,1,28079011,08,96
1,1,28079016,08,73
1,1,28079017,08,127
1,1,28079018,08,73
1,1,28079024,08,72
1,1,28079027,08,51
1,1,28079035,08,87
1,1,28079036,08,125
1,1,28079038,08,114
1,1,28079039,08,127
1,1,28079040,08,140
1,1,28079047,08,72
1,1,28079048,08,102
1,1,28079049,08,76
1,1,28079050,08,99
1,1,28079054,08,130
1,1,28079055,08,65
1,1,28079056,08,87
1,1,28079057,08,78
1,1,28079058,08,24
1,1,28079059,08,47
1,1,28079060,08,85
1,1,28079008,09,31
1,1,28079024,09,20
1,1,28079038,09,35
1,1,28079047,09,25
1,1,28079048,09,20
1,1,28079050,09,23
1,1,28079008,10,56
1,1,28079018,10,28
1,1,28079024,10,32
1,1,28079036,10,32
1,1,28079038,10,49
1,1,28079040,10,67
1,1,28079047,10,37
1,1,28079048,10,28
1,1,28079050,10,44
1,1,28079055,10,7
1,1,28079057,10,29
1,1,28079060,10,32
1,1,28079008,14,5
1,1,28079016,14,4
1,1,28079017,14,8
1,1,28079018,14,8
1,1,28079024,14,3
1,1,28079027,14,13
1,1,28079035,14,6
1,1,28079039,14,6
1,1,28079049,14,3
1,1,28079054,14,6
1,1,28079056,14,4
1,1,28079058,14,13
1,1,28079059,14,15
1,1,28079060,14,3
1,1,28079008,20,19.7
1,1,28079011,20,14.8
1,1,28079018,20,7.3
1,1,28079024,20,4.2
1,1,28079038,20,5.8
1,1,28079055,20,2.8
1,1,28079008,30,3.2
1,1,28079011,30,4.3
1,1,28079018,30,0.9
1,1,28079024,30,0.2
1,1,28079055,30,0.5
1,1,28079008,35,4.2
1,1,28079011,35,4.7
1,1,28079018,35,0.5
1,1,28079024,35,0.4
1,1,28079038,35,0.3
1,1,28079055,35,0.6
1,1,28079008,42,1.88
1,1,28079024,42,1.53
1,1,28079055,42,1.72
1,1,28079008,44,0.5
1,1,28079024,44,0.3
1,1,28079055,44,0.53
1,10,28079004,01,8
1,10,28079008,01,7
1,10,28079017,01,7
1,10,28079018,01,5
