day,hour,station,parameter,value
1,1,28079004,01,3
1,1,28079008,01,3
1,1,28079017,01,5
1,1,28079018,01,4
1,1,28079024,01,2
1,1,28079035,01,3
1,1,28079036,01,1
1,1,28079038,01,2
1,1,28079040,01,4
1,1,28079057,01,5
1,1,28079004,06,0.2
1,1,28079008,06,0.1
1,1,28079016,06,0.2
1,1,28079018,06,0.2
1,1,28079024,06,0.2
1,1,28079035,06,0.1
1,1,28079036,06,0.2
1,1,28079039,06,0.2
1,1,28079056,06,0.3
1,1,28079057,06,0.2
1,1,28079004,07,7
1,1,28079008,07,10
1,1,28079011,07,5
1,1,28079016,07,6
1,1,28079017,07,6
1,1,28079018,07,2
1,1,28079024,07,1
1,1,28079027,07,2
1,1,28079035,07,8
1,1,28079036,07,6
1,1,28079038,07,9
1,1,28079039,07,4
1,1,28079040,07,5
1,1,28079047,07,2
1,1,28079048,07,6
1,1,28079049,07,1
1,1,28079050,07,13
1,1,28079054,07,5
1,1,28079055,07,3
1,1,28079056,07,21
1,1,28079057,07,2
1,1,28079058,07,1
1,1,28079059,07,1
1,1,28079060,07,1
1,1,28079004,08,13
1,1,28079008,08,26
1,1,28079011,08,7
1,1,28079016,08,21
1,1,28079017,08,16
1,1,28079018,08,17
1,1,28079024,08,8
1,1,28079027,08,27
1,1,28079035,08,15
1,1,28079036,08,17
1,1,28079038,08,16
1,1,28079039,08,14
1,1,28079040,08,25
1,1,28079047,08,11
1,1,28079048,08,22
1,1,28079049,08,14
1,1,28079050,08,23
1,1,28079054,08,11
1,1,28079055,08,25
1,1,28079056,08,27
1,1,28079057,08,19
1,1,28079058,08,4
1,1,28079059,08,16
1,1,28079060,08,14
1,1,28079008,09,2
1,1,28079024,09,5
1,1,28079038,09,6
1,1,28079047,09,3
1,1,28079048,09,6
1,1,28079050,09,6
1,1,28079008,10,7
1,1,28079018,10,4
1,1,28079024,10,6
1,1,28079036,10,9
1,1,28079038,10,5
1,1,28079040,10,7
1,1,28079047,10,4
1,1,28079048,10,6
1,1,28079050,10,8
1,1,28079055,10,14
1,1,28079057,10,19
1,1,28079060,10,22
1,1,28079008,14,10
1,1,28079016,14,13
1,1,28079017,14,5
1,1,28079018,14,9
1,1,28079024,14,19
1,1,28079027,14,13
1,1,28079035,14,24
1,1,28079039,14,15
1,1,28079049,14,6
1,1,28079054,14,25
1,1,28079056,14,10
1,1,28079058,14,26
1,1,28079059,14,14
1,1,28079060,14,12
1,1,28079008,20,2.5
1,1,28079011,20,4
1,1,28079018,20,0.9
1,1,28079024,20,0.5
1,1,28079038,20,1.6
1,1,28079055,20,1.4
1,1,28079008,30,0.3
1,1,28079011,30,0.8
1,1,28079018,30,0.1
1,1,28079024,30,0.4
1,1,28079038,30,0.2
1,1,28079055,30,0.2
1,1,28079008,35,0.2
1,1,28079011,35,0.4
1,1,28079018,35,0.9
1,1,28079024,35,2
1,1,28079038,35,0.3
1,1,28079055,35,0.3
1,1,28079024,42,1.3
1,1,28079027,42,1.28
1,1,28079055,42,1.35
1,1,28079024,44,0.2
1,1,28079027,44,0.15
1,1,28079055,44,0.12
1,10,28079004,01,3
1,10,28079008,01,5
1,10,28079017,01,5
1,10,28079018,01,4
1,10,28079024,01,2
1,10,28079035,01,3
1,10,28079036,01,1
1,10,28079038,01,3
1,10,28079040,01,4
1,10,28079057,01,5
1,10,28079004,06,0.2
1,10,28079008,06,0.5
1,10,28079016,06,0.3
1,10,28079018,06,0.2
1,10,28079024,06,0.1
1,10,28079035,06,0.2
1,10,28079036,06,0.2
1,10,28079039,06,0.3
1,10,28079056,06,0.4
1,10,28079057,06,0.3
1,10,28079004,07,29
1,10,28079008,07,75
1,10,28079011,07,21
1,10,28079016,07,29
1,10,28079017,07,20
1,10,28079018,07,7
1,10,28079024,07,3
1,10,28079027,07,17
1,10,28079035,07,19
1,10,28079036,07,21
1,10,28079038,07,33
1,10,28079039,07,27
1,10,28079040,07,17
1,10,28079047,07,13
1,10,28079048,07,30
1,10,28079049,07,13
1,10,28079050,07,54
1,10,28079054,07,12
1,10,28079055,07,19
1,10,28079056,07,40
1,10,28079057,07,18
1,10,28079058,07,1
1,10,28079059,07,14
1,10,28079060,07,14
1,10,28079004,08,25
1,10,28079008,08,49
1,10,28079011,08,20
1,10,28079016,08,27
1,10,28079017,08,18
1,10,28079018,08,19
1,10,28079024,08,7
1,10,28079027,08,22
1,10,28079035,08,23
1,10,28079036,08,21
1,10,28079038,08,27
1,10,28079039,08,27
1,10,28079040,08,23
1,10,28079047,08,20
1,10,28079048,08,37
1,10,28079049,08,26
1,10,28079050,08,37
1,10,28079054,08,14
1,10,28079055,08,27
1,10,28079056,08,31
1,10,28079057,08,26
1,10,28079058,08,8
1,10,28079059,08,17
1,10,28079060,08,21
1,10,28079008,09,8
1,10,28079024,09,1
1,10,28079038,09,1
1,10,28079047,09,5
1,10,28079048,09,1
1,10,28079050,09,4
1,10,28079008,10,19
1,10,28079018,10,10
1,10,28079024,10,2
1,10,28079036,10,4
1,10,28079038,10,8
1,10,28079040,10,8
1,10,28079047,10,7
1,10,28079048,10,4
1,10,28079050,10,23
1,10,28079055,10,5
1,10,28079057,10,5
1,10,28079060,10,5
1,10,28079008,14,7
1,10,28079016,14,10
1,10,28079017,14,3
1,10,28079018,14,6
