day,hour,station,parameter,value
1,1,28079004,01,7
1,1,28079008,01,12
1,1,28079017,01,7
1,1,28079018,01,6
1,1,28079024,01,7
1,1,28079035,01,10
1,1,28079036,01,9
1,1,28079038,01,11
1,1,28079040,01,4
1,1,28079057,01,6
1,1,28079004,06,0.9
1,1,28079008,06,0.5
1,1,28079016,06,0.4
1,1,28079018,06,0.9
1,1,28079024,06,0.9
1,1,28079035,06,0.9
1,1,28079036,06,0.5
1,1,28079039,06,0.9
1,1,28079056,06,0.9
1,1,28079057,06,0.6
1,1,28079004,07,151
1,1,28079008,07,45
1,1,28079011,07,47
1,1,28079016,07,18
1,1,28079017,07,216
1,1,28079018,07,118
1,1,28079024,07,173
1,1,28079027,07,13
1,1,28079035,07,123
1,1,28079036,07,21
1,1,28079038,07,237
1,1,28079039,07,175
1,1,28079040,07,14
1,1,28079047,07,131
1,1,28079048,07,36
1,1,28079049,07,86
1,1,28079050,07,61
1,1,28079054,07,40
1,1,28079055,07,19
1,1,28079056,07,138
1,1,28079057,07,52
1,1,28079058,07,39
1,1,28079059,07,8
1,1,28079060,07,138
1,1,28079004,08,46
1,1,28079008,08,71
1,1,28079011,08,62
1,1,28079016,08,50
1,1,28079017,08,92
1,1,28079018,08,56
1,1,28079024,08,68
1,1,28079027,08,46
1,1,28079035,08,80
1,1,28079036,08,53
1,1,28079038,08,87
1,1,28079039,08,100
1,1,28079040,08,61
1,1,28079047,08,74
1,1,28079048,08,65
1,1,28079049,08,71
1,1,28079050,08,71
1,1,28079054,08,69
1,1,28079055,08,53
1,1,28079056,08,76
1,1,28079057,08,76
1,1,28079058,08,38
1,1,28079059,08,34
1,1,28079060,08,90
1,1,28079008,09,22
1,1,28079024,09,38
1,1,28079038,09,39
1,1,28079047,09,27
1,1,28079048,09,19
1,1,28079050,09,13
1,1,28079008,10,34
1,1,28079018,10,32
1,1,28079024,10,40
1,1,28079036,10,21
1,1,28079038,10,58
1,1,28079040,10,24
1,1,28079047,10,37
1,1,28079048,10,26
1,1,28079050,10,35
1,1,28079055,10,21
1,1,28079057,10,25
1,1,28079060,10,33
1,1,28079008,14,2
1,1,28079016,14,3
1,1,28079017,14,2
1,1,28079018,14,1
1,1,28079024,14,5
1,1,28079027,14,5
1,1,28079035,14,3
1,1,28079039,14,2
1,1,28079049,14,1
1,1,28079054,14,4
1,1,28079056,14,5
1,1,28079058,14,1
1,1,28079059,14,5
1,1,28079060,14,1
1,1,28079008,20,9.6
1,1,28079011,20,14.8
1,1,28079018,20,6
1,1,28079024,20,8.6
1,1,28079038,20,28.1
1,1,28079055,20,3.6
1,1,28079008,30,2.5
1,1,28079011,30,4
1,1,28079018,30,0.7
1,1,28079024,30,2.2
1,1,28079038,30,5.4
1,1,28079055,30,1
1,1,28079008,35,4
1,1,28079011,35,4.1
1,1,28079018,35,0.4
1,1,28079024,35,2.1
1,1,28079038,35,6.6
1,1,28079055,35,0.8
1,1,28079008,42,1.46
1,1,28079024,42,1.58
1,1,28079027,42,1.49
1,1,28079055,42,1.57
1,1,28079058,42,1.89
1,1,28079008,44,0.25
1,1,28079024,44,0.29
1,1,28079027,44,0.2
1,1,28079055,44,0.14
1,1,28079058,44,0.4
1,10,28079004,01,11
1,10,28079008,01,17
1,10,28079017,01,11
1,10,28079018,01,10
