day,hour,station,parameter,value
1,1,28079004,01,8
1,1,28079008,01,9
1,1,28079017,01,7
1,1,28079018,01,3
1,1,28079024,01,2
1,1,28079035,01,9
1,1,28079036,01,17
1,1,28079038,01,6
1,1,28079040,01,7
1,1,28079057,01,8
1,1,28079004,06,0.4
1,1,28079008,06,0.7
1,1,28079016,06,0.3
1,1,28079018,06,0.2
1,1,28079024,06,0.2
1,1,28079035,06,0.7
1,1,28079036,06,0.4
1,1,28079039,06,0.4
1,1,28079056,06,0.5
1,1,28079057,06,0.3
1,1,28079004,07,42
1,1,28079008,07,29
1,1,28079011,07,14
1,1,28079016,07,7
1,1,28079017,07,63
1,1,28079018,07,8
1,1,28079024,07,1
1,1,28079027,07,6
1,1,28079035,07,37
1,1,28079036,07,6
1,1,28079038,07,40
1,1,28079039,07,14
1,1,28079040,07,3
1,1,28079047,07,61
1,1,28079048,07,18
1,1,28079049,07,1
1,1,28079050,07,2
1,1,28079054,07,28
1,1,28079055,07,17
1,1,28079056,07,145
1,1,28079057,07,2
1,1,28079058,07,1
1,1,28079059,07,1
1,1,28079060,07,1
1,1,28079004,08,78
1,1,28079008,08,84
1,1,28079011,08,78
1,1,28079016,08,63
1,1,28079017,08,86
1,1,28079018,08,73
1,1,28079024,08,32
1,1,28079027,08,73
1,1,28079035,08,91
1,1,28079036,08,55
1,1,28079038,08,75
1,1,28079039,08,74
1,1,28079040,08,57
1,1,28079047,08,103
1,1,28079048,08,64
1,1,28079049,08,62
1,1,28079050,08,56
1,1,28079054,08,100
1,1,28079055,08,84
1,1,28079056,08,112
1,1,28079057,08,56
1,1,28079058,08,4
1,1,28079059,08,28
1,1,28079060,08,38
1,1,28079008,09,8
1,1,28079024,09,4
1,1,28079038,09,6
1,1,28079047,09,10
1,1,28079048,09,6
1,1,28079050,09,4
1,1,28079008,10,17
1,1,28079018,10,12
1,1,28079024,10,8
1,1,28079036,10,62
1,1,28079038,10,11
1,1,28079040,10,17
1,1,28079047,10,20
1,1,28079048,10,9
1,1,28079050,10,10
1,1,28079055,10,25
1,1,28079057,10,27
1,1,28079060,10,11
1,1,28079008,14,9
1,1,28079016,14,23
1,1,28079017,14,1
1,1,28079018,14,5
1,1,28079024,14,34
1,1,28079027,14,8
1,1,28079035,14,4
1,1,28079039,14,16
1,1,28079049,14,16
1,1,28079054,14,13
1,1,28079056,14,7
1,1,28079058,14,45
1,1,28079059,14,58
1,1,28079060,14,57
1,1,28079008,20,3.9
1,1,28079011,20,5.6
1,1,28079018,20,3.4
1,1,28079024,20,0.2
1,1,28079038,20,4.7
1,1,28079055,20,1.6
1,1,28079008,30,0.5
1,1,28079011,30,1.8
1,1,28079018,30,0.4
1,1,28079024,30,0.1
1,1,28079038,30,0.6
1,1,28079055,30,0.6
1,1,28079008,35,0.6
1,1,28079011,35,3.3
1,1,28079018,35,0.2
1,1,28079024,35,0.1
1,1,28079038,35,1.2
1,1,28079055,35,0.1
1,1,28079008,42,1.63
1,1,28079024,42,1.24
1,1,28079055,42,1.89
1,1,28079008,44,0.18
1,1,28079024,44,0.05
1,1,28079055,44,0.83
1,10,28079004,01,6
1,10,28079008,01,9
1,10,28079017,01,5
1,10,28079018,01,3
1,10,28079024,01,3
1,10,28079035,01,7
1,10,28079036,01,6
1,10,28079038,01,4
1,10,28079040,01,7
1,10,28079057,01,8
1,10,28079004,06,0.3
1,10,28079008,06,0.6
1,10,28079016,06,0.3
1,10,28079018,06,0.1
1,10,28079024,06,0.3
1,10,28079035,06,0.3
1,10,28079036,06,0.2
1,10,28079039,06,0.3
1,10,28079056,06,0.3
1,10,28079057,06,0.3
1,10,28079004,07,13
1,10,28079008,07,24
1,10,28079011,07,7
1,10,28079016,07,4
1,10,28079017,07,7
1,10,28079018,07,8
1,10,28079024,07,13
1,10,28079027,07,4
1,10,28079035,07,17
1,10,28079036,07,7
1,10,28079038,07,37
1,10,28079039,07,8
1,10,28079040,07,8
1,10,28079047,07,8
1,10,28079048,07,5
1,10,28079049,07,2
1,10,28079050,07,14
1,10,28079054,07,13
1,10,28079055,07,11
1,10,28079056,07,37
1,10,28079057,07,8
1,10,28079058,07,3
1,10,28079059,07,3
1,10,28079060,07,5
1,10,28079004,08,52
1,10,28079008,08,54
1,10,28079011,08,31
1,10,28079016,08,21
1,10,28079017,08,34
1,10,28079018,08,33
1,10,28079024,08,33
1,10,28079027,08,13
1,10,28079035,08,40
1,10,28079036,08,25
1,10,28079038,08,52
1,10,28079039,08,27
1,10,28079040,08,29
1,10,28079047,08,35
1,10,28079048,08,26
1,10,28079049,08,36
1,10,28079050,08,33
1,10,28079054,08,47
1,10,28079055,08,27
1,10,28079056,08,54
1,10,28079057,08,19
1,10,28079058,08,13
1,10,28079059,08,13
1,10,28079060,08,27
1,10,28079008,09,6
1,10,28079024,09,4
1,10,28079038,09,8
1,10,28079047,09,6
1,10,28079048,09,6
1,10,28079050,09,4
1,10,28079008,10,13
1,10,28079018,10,15
1,10,28079024,10,10
1,10,28079036,10,16
1,10,28079038,10,18
1,10,28079040,10,15
1,10,28079047,10,13
1,10,28079048,10,10
1,10,28079050,10,10
1,10,28079055,10,8
1,10,28079057,10,8
1,10,28079060,10,15
1,10,28079008,14,33
1,10,28079016,14,53
1,10,28079017,14,41
1,10,28079018,14,45
1,10,28079024,14,31
1,10,28079027,14,54
1,10,28079035,14,40
1,10,28079039,14,51
1,10,28079049,14,47
1,10,28079054,14,44
1,10,28079056,14,41
1,10,28079058,14,24
1,10,28079059,14,68
1,10,28079060,14,56
1,10,28079008,20,3.1
1,10,28079011,20,7.2
1,10,28079018,20,0.5
1,10,28079024,20,0.2
1,10,28079038,20,3.6
1,10,28079055,20,0.4
1,10,28079008,30,0.5
1,10,28079011,30,1.2
1,10,28079018,30,0.2
1,10,28079024,30,0.1
1,10,28079038,30,0.6
1,10,28079055,30,0.2
1,10,28079008,35,1.1
1,10,28079011,35,1.4
1,10,28079018,35,0.1
1,10,28079024,35,0.1
1,10,28079038,35,1.2
1,10,28079055,35,0.1
1,10,28079008,42,1.48
1,10,28079024,42,1.23
1,10,28079055,42,1.57
1,10,28079008,44,0.13
1,10,28079024,44,0.04
1,10,28079055,44,0.63
1,11,28079004,01,6
1,11,28079008,01,8
1,11,28079017,01,5
1,11,28079018,01,3
1,11,28079024,01,2
1,11,28079035,01,7
1,11,28079036,01,6
1,11,28079038,01,5
1,11,28079040,01,7
1,11,28079057,01,8
1,11,28079004,06,0.2
1,11,28079008,06,0.5
1,11,28079016,06,0.2
1,11,28079018,06,0.1
1,11,28079024,06,0.2
1,11,28079035,06,0.4
1,11,28079036,06,0.2
1,11,28079039,06,0.2
1,11,28079056,06,0.3
1,11,28079057,06,0.2
1,11,28079004,07,12
1,11,28079008,07,16
1,11,28079011,07,8
1,11,28079016,07,9
1,11,28079017,07,6
1,11,28079018,07,9
1,11,28079024,07,8
1,11,28079027,07,4
1,11,28079035,07,24
1,11,28079036,07,6
1,11,28079038,07,37
1,11,28079039,07,9
1,11,28079040,07,9
1,11,28079047,07,9
1,11,28079048,07,5
1,11,28079049,07,3
1,11,28079050,07,7
1,11,28079054,07,12
1,11,28079055,07,8
1,11,28079056,07,38
1,11,28079057,07,6
1,11,28079058,07,1
1,11,28079059,07,3
1,11,28079060,07,3
1,11,28079004,08,46
1,11,28079008,08,39
1,11,28079011,08,26
1,11,28079016,08,19
1,11,28079017,08,24
1,11,28079018,08,27
1,11,28079024,08,19
1,11,28079027,08,10
1,11,28079035,08,46
1,11,28079036,08,19
1,11,28079038,08,45
1,11,28079039,08,22
1,11,28079040,08,23
1,11,28079047,08,28
1,11,28079048,08,18
1,11,28079049,08,28
1,11,28079050,08,14
1,11,28079054,08,33
1,11,28079055,08,18
1,11,28079056,08,52
1,11,28079057,08,11
1,11,28079058,08,6
1,11,28079059,08,8
1,11,28079060,08,18
1,11,28079008,09,6
1,11,28079024,09,8
1,11,28079038,09,8
1,11,28079047,09,9
1,11,28079048,09,6
1,11,28079050,09,1
1,11,28079008,10,13
1,11,28079018,10,13
1,11,28079024,10,15
1,11,28079036,10,17
1,11,28079038,10,17
1,11,28079040,10,16
1,11,28079047,10,15
1,11,28079048,10,10
1,11,28079050,10,6
1,11,28079055,10,14
1,11,28079057,10,10
1,11,28079060,10,12
1,11,28079008,14,46
1,11,28079016,14,54
1,11,28079017,14,52
1,11,28079018,14,52
1,11,28079024,14,50
1,11,28079027,14,61
1,11,28079035,14,36
1,11,28079039,14,56
1,11,28079049,14,52
1,11,28079054,14,56
1,11,28079056,14,44
1,11,28079058,14,60
1,11,28079059,14,74
1,11,28079060,14,65
1,11,28079008,20,3.1
1,11,28079011,20,12
1,11,28079018,20,1.3
1,11,28079024,20,0.6
1,11,28079038,20,3.1
1,11,28079055,20,0.7
1,11,28079008,30,0.4
1,11,28079011,30,1
1,11,28079018,30,0.3
1,11,28079024,30,0.1
1,11,28079038,30,0.4
1,11,28079055,30,0.3
1,11,28079008,35,0.7
1,11,28079011,35,2.9
1,11,28079018,35,0.1
1,11,28079024,35,0.1
1,11,28079038,35,1
1,11,28079055,35,0.1
1,11,28079008,42,1.46
1,11,28079024,42,1.21
1,11,28079055,42,1.56
1,11,28079008,44,0.12
1,11,28079024,44,0.03
1,11,28079055,44,0.64
1,12,28079004,01,6
1,12,28079008,01,8
1,12,28079017,01,4
1,12,28079018,01,3
1,12,28079024,01,2
1,12,28079035,01,7
1,12,28079036,01,6
1,12,28079038,01,4
1,12,28079040,01,6
1,12,28079057,01,8
1,12,28079004,06,0.2
1,12,28079008,06,0.5
1,12,28079016,06,0.2
1,12,28079018,06,0.1
1,12,28079024,06,0.2
1,12,28079035,06,0.4
1,12,28079036,06,0.2
1,12,28079039,06,0.2
1,12,28079056,06,0.3
1,12,28079057,06,0.2
1,12,28079004,07,9
1,12,28079008,07,16
1,12,28079011,07,6
1,12,28079016,07,4
1,12,28079017,07,4
1,12,28079018,07,7
1,12,28079024,07,5
1,12,28079027,07,2
1,12,28079035,07,26
1,12,28079036,07,4
1,12,28079038,07,35
1,12,28079039,07,8
1,12,28079040,07,6
1,12,28079047,07,6
1,12,28079048,07,6
1,12,28079049,07,1
1,12,28079050,07,7
1,12,28079054,07,7
1,12,28079055,07,7
1,12,28079056,07,27
1,12,28079057,07,8
1,12,28079058,07,1
1,12,28079059,07,2
1,12,28079060,07,3
1,12,28079004,08,38
1,12,28079008,08,35
1,12,28079011,08,18
1,12,28079016,08,11
1,12,28079017,08,17
1,12,28079018,08,21
1,12,28079024,08,13
1,12,28079027,08,6
1,12,28079035,08,40
1,12,28079036,08,14
1,12,28079038,08,37
1,12,28079039,08,18
1,12,28079040,08,16
1,12,28079047,08,20
1,12,28079048,08,13
1,12,28079049,08,21
1,12,28079050,08,12
1,12,28079054,08,24
1,12,28079055,08,16
1,12,28079056,08,37
1,12,28079057,08,11
1,12,28079058,08,4
1,12,28079059,08,4
1,12,28079060,08,16
1,12,28079008,09,12
1,12,28079024,09,7
1,12,28079038,09,8
1,12,28079047,09,6
1,12,28079048,09,5
1,12,28079050,09,5
1,12,28079008,10,18
1,12,28079018,10,12
1,12,28079024,10,13
1,12,28079036,10,20
1,12,28079038,10,17
1,12,28079040,10,16
1,12,28079047,10,12
1,12,28079048,10,9
1,12,28079050,10,9
1,12,28079055,10,10
1,12,28079057,10,15
1,12,28079060,10,27
1,12,28079008,14,52
1,12,28079016,14,65
1,12,28079017,14,60
1,12,28079018,14,58
1,12,28079024,14,59
1,12,28079027,14,68
1,12,28079035,14,43
1,12,28079039,14,63
1,12,28079049,14,61
1,12,28079054,14,67
1,12,28079056,14,55
1,12,28079058,14,75
1,12,28079059,14,81
1,12,28079060,14,69
1,12,28079008,20,2.9
1,12,28079011,20,6
1,12,28079018,20,1
1,12,28079024,20,0.2
1,12,28079038,20,1.9
1,12,28079055,20,1
1,12,28079008,30,0.3
1,12,28079011,30,0.9
1,12,28079018,30,0.2
1,12,28079024,30,0.1
1,12,28079038,30,0.3
1,12,28079055,30,0.2
1,12,28079008,35,0.6
1,12,28079011,35,2.1
1,12,28079018,35,0.1
1,12,28079024,35,0.1
1,12,28079038,35,0.5
1,12,28079055,35,0.1
1,12,28079008,42,1.45
1,12,28079024,42,1.2
1,12,28079055,42,1.55
1,12,28079008,44,0.11
1,12,28079024,44,0.02
1,12,28079055,44,0.64
1,13,28079004,01,6
1,13,28079008,01,8
1,13,28079017,01,4
1,13,28079018,01,2
1,13,28079024,01,2
1,13,28079035,01,6
1,13,28079036,01,6
1,13,28079038,01,4
1,13,28079040,01,6
1,13,28079057,01,8
1,13,28079004,06,0.2
1,13,28079008,06,0.5
1,13,28079016,06,0.2
1,13,28079018,06,0.1
1,13,28079024,06,0.2
1,13,28079035,06,0.4
1,13,28079036,06,0.2
1,13,28079039,06,0.2
1,13,28079056,06,0.2
1,13,28079057,06,0.2
1,13,28079004,07,7
1,13,28079008,07,12
1,13,28079011,07,7
1,13,28079016,07,2
1,13,28079017,07,4
1,13,28079018,07,6
1,13,28079024,07,5
1,13,28079027,07,2
1,13,28079035,07,16
1,13,28079036,07,5
1,13,28079038,07,22
1,13,28079039,07,8
1,13,28079040,07,5
1,13,28079047,07,6
1,13,28079048,07,5
1,13,28079049,07,1
1,13,28079050,07,6
1,13,28079054,07,7
1,13,28079055,07,6
