day,hour,station,parameter,value
1,1,28079004,01,3
1,1,28079008,01,8
1,1,28079017,01,7
1,1,28079018,01,3
1,1,28079024,01,3
1,1,28079035,01,5
1,1,28079036,01,2
1,1,28079038,01,2
1,1,28079040,01,3
1,1,28079057,01,6
1,1,28079004,06,0.2
1,1,28079008,06,0.3
1,1,28079016,06,0.2
1,1,28079018,06,0.3
1,1,28079024,06,0.2
1,1,28079035,06,0.3
1,1,28079036,06,0.2
1,1,28079039,06,0.2
1,1,28079056,06,0.4
1,1,28079057,06,0.2
1,1,28079004,07,6
1,1,28079008,07,5
1,1,28079011,07,1
1,1,28079016,07,2
1,1,28079017,07,1
1,1,28079018,07,2
1,1,28079024,07,1
1,1,28079027,07,6
1,1,28079035,07,4
1,1,28079036,07,2
1,1,28079038,07,5
1,1,28079039,07,1
1,1,28079040,07,3
1,1,28079047,07,4
1,1,28079048,07,1
1,1,28079049,07,3
1,1,28079050,07,1
1,1,28079054,07,1
1,1,28079055,07,1
1,1,28079056,07,8
1,1,28079057,07,1
1,1,28079058,07,1
1,1,28079059,07,2
1,1,28079060,07,1
1,1,28079004,08,23
1,1,28079008,08,41
1,1,28079011,08,9
1,1,28079016,08,19
1,1,28079017,08,23
1,1,28079018,08,26
1,1,28079024,08,31
1,1,28079027,08,29
1,1,28079035,08,33
1,1,28079036,08,19
1,1,28079038,08,26
1,1,28079039,08,17
1,1,28079040,08,29
1,1,28079047,08,23
1,1,28079048,08,17
1,1,28079049,08,17
1,1,28079050,08,15
1,1,28079054,08,13
1,1,28079055,08,25
1,1,28079056,08,52
1,1,28079057,08,16
1,1,28079058,08,14
1,1,28079059,08,12
1,1,28079060,08,10
1,1,28079008,09,12
1,1,28079024,09,11
1,1,28079038,09,7
1,1,28079047,09,10
1,1,28079048,09,8
1,1,28079050,09,9
1,1,28079008,10,21
1,1,28079018,10,18
1,1,28079024,10,19
1,1,28079036,10,9
1,1,28079038,10,11
1,1,28079040,10,13
1,1,28079047,10,15
1,1,28079048,10,16
1,1,28079050,10,16
1,1,28079055,10,16
1,1,28079057,10,15
1,1,28079060,10,20
1,1,28079008,14,48
1,1,28079016,14,63
1,1,28079017,14,40
1,1,28079018,14,58
1,1,28079024,14,56
1,1,28079027,14,58
1,1,28079035,14,60
1,1,28079039,14,68
1,1,28079049,14,56
1,1,28079054,14,64
1,1,28079056,14,39
1,1,28079058,14,63
1,1,28079059,14,60
1,1,28079060,14,74
1,1,28079008,20,3.1
1,1,28079011,20,3.4
1,1,28079018,20,1
1,1,28079024,20,0.2
1,1,28079038,20,1.8
1,1,28079008,30,0.4
1,1,28079011,30,0.7
1,1,28079018,30,0.2
1,1,28079024,30,0.2
1,1,28079038,30,0.1
1,1,28079008,35,0.3
1,1,28079011,35,0.2
1,1,28079018,35,0.1
1,1,28079024,35,0.1
1,1,28079038,35,0.3
1,1,28079008,42,1.15
1,1,28079024,42,1.32
1,1,28079055,42,1.19
1,1,28079008,44,0.11
1,1,28079024,44,0.24
1,1,28079055,44,0.39
1,10,28079004,01,4
1,10,28079008,01,8
1,10,28079017,01,8
1,10,28079018,01,3
1,10,28079024,01,3
1,10,28079035,01,6
1,10,28079036,01,2
1,10,28079038,01,3
1,10,28079040,01,3
1,10,28079057,01,7
1,10,28079004,06,0.3
1,10,28079008,06,0.4
1,10,28079016,06,0.2
1,10,28079018,06,0.4
1,10,28079024,06,0.3
1,10,28079035,06,0.4
1,10,28079036,06,0.3
1,10,28079039,06,0.3
1,10,28079056,06,0.5
1,10,28079057,06,0.3
1,10,28079004,07,22
1,10,28079008,07,30
1,10,28079011,07,6
1,10,28079016,07,9
1,10,28079017,07,16
1,10,28079018,07,28
1,10,28079024,07,18
1,10,28079027,07,17
1,10,28079035,07,34
1,10,28079036,07,19
1,10,28079038,07,61
1,10,28079039,07,20
1,10,28079040,07,22
1,10,28079047,07,19
1,10,28079048,07,10
1,10,28079049,07,14
1,10,28079050,07,10
1,10,28079054,07,30
1,10,28079055,07,35
1,10,28079056,07,38
1,10,28079057,07,16
1,10,28079058,07,1
1,10,28079059,07,6
1,10,28079060,07,15
1,10,28079004,08,46
1,10,28079008,08,71
1,10,28079011,08,29
1,10,28079016,08,39
1,10,28079017,08,48
1,10,28079018,08,59
1,10,28079024,08,51
1,10,28079027,08,40
1,10,28079035,08,58
1,10,28079036,08,39
1,10,28079038,08,63
1,10,28079039,08,55
1,10,28079040,08,65
1,10,28079047,08,48
1,10,28079048,08,38
1,10,28079049,08,32
1,10,28079050,08,37
1,10,28079054,08,12
1,10,28079055,08,61
1,10,28079056,08,74
1,10,28079057,08,43
1,10,28079058,08,11
1,10,28079059,08,15
1,10,28079060,08,47
1,10,28079008,09,18
1,10,28079024,09,15
1,10,28079038,09,29
1,10,28079047,09,14
1,10,28079048,09,23
1,10,28079050,09,14
1,10,28079008,10,32
1,10,28079018,10,37
1,10,28079024,10,34
1,10,28079036,10,68
1,10,28079038,10,28
1,10,28079040,10,31
1,10,28079047,10,29
1,10,28079048,10,60
1,10,28079050,10,25
1,10,28079055,10,49
1,10,28079057,10,67
1,10,28079060,10,56
1,10,28079008,14,21
1,10,28079016,14,30
1,10,28079017,14,11
1,10,28079018,14,20
1,10,28079024,14,31
1,10,28079027,14,36
1,10,28079035,14,32
1,10,28079039,14,28
1,10,28079049,14,25
1,10,28079054,14,29
1,10,28079056,14,20
1,10,28079058,14,51
1,10,28079059,14,46
1,10,28079060,14,30
1,10,28079008,20,4.2
1,10,28079011,20,4.4
1,10,28079018,20,2.4
1,10,28079024,20,0.5
1,10,28079038,20,4.8
1,10,28079008,30,0.7
1,10,28079011,30,1.4
1,10,28079018,30,0.4
1,10,28079024,30,0.1
1,10,28079038,30,1.2
1,10,28079008,35,0.4
1,10,28079011,35,0.4
1,10,28079018,35,0.2
1,10,28079024,35,0.1
1,10,28079038,35,1
1,10,28079008,42,1.18
1,10,28079024,42,1.35
1,10,28079055,42,1.34
1,10,28079008,44,0.13
1,10,28079024,44,0.24
1,10,28079055,44,0.44
1,11,28079004,01,4
1,11,28079008,01,7
1,11,28079017,01,8
1,11,28079018,01,3
1,11,28079024,01,3
1,11,28079035,01,6
1,11,28079036,01,2
1,11,28079038,01,3
1,11,28079040,01,3
1,11,28079057,01,7
1,11,28079004,06,0.3
1,11,28079008,06,0.4
1,11,28079016,06,0.2
1,11,28079018,06,0.4
1,11,28079024,06,0.3
1,11,28079035,06,0.4
1,11,28079036,06,0.3
1,11,28079039,06,0.3
1,11,28079056,06,0.5
1,11,28079057,06,0.3
1,11,28079004,07,29
1,11,28079008,07,21
1,11,28079016,07,8
1,11,28079017,07,21
1,11,28079018,07,19
1,11,28079024,07,17
1,11,28079027,07,11
1,11,28079035,07,28
1,11,28079036,07,23
1,11,28079038,07,43
1,11,28079039,07,13
1,11,28079040,07,31
1,11,28079047,07,19
1,11,28079048,07,7
1,11,28079049,07,13
1,11,28079050,07,6
1,11,28079054,07,14
1,11,28079055,07,11
