day,hour,station,parameter,value
1,1,28079004,01,6
1,1,28079008,01,6
1,1,28079017,01,2
1,1,28079018,01,2
1,1,28079024,01,2
1,1,28079035,01,4
1,1,28079036,01,4
1,1,28079038,01,3
1,1,28079040,01,5
1,1,28079057,01,7
1,1,28079004,06,0.3
1,1,28079008,06,0.5
1,1,28079016,06,0.2
1,1,28079018,06,0.1
1,1,28079024,06,0.2
1,1,28079035,06,0.3
1,1,28079036,06,0.2
1,1,28079039,06,0.2
1,1,28079056,06,0.4
1,1,28079057,06,0.3
1,1,28079004,07,10
1,1,28079008,07,9
1,1,28079011,07,7
1,1,28079016,07,2
1,1,28079017,07,3
1,1,28079018,07,1
1,1,28079024,07,1
1,1,28079027,07,1
1,1,28079035,07,5
1,1,28079036,07,3
1,1,28079038,07,8
1,1,28079039,07,2
1,1,28079040,07,1
1,1,28079047,07,1
1,1,28079048,07,4
1,1,28079049,07,1
1,1,28079050,07,7
1,1,28079054,07,1
1,1,28079055,07,1
1,1,28079056,07,4
1,1,28079057,07,1
1,1,28079058,07,1
1,1,28079059,07,1
1,1,28079060,07,1
1,1,28079004,08,22
1,1,28079008,08,35
1,1,28079011,08,17
1,1,28079016,08,11
1,1,28079017,08,11
1,1,28079018,08,8
1,1,28079024,08,1
1,1,28079027,08,5
1,1,28079035,08,28
1,1,28079036,08,11
1,1,28079038,08,13
1,1,28079039,08,10
1,1,28079040,08,12
1,1,28079047,08,9
1,1,28079048,08,14
1,1,28079049,08,14
1,1,28079050,08,24
1,1,28079054,08,12
1,1,28079055,08,8
1,1,28079056,08,14
1,1,28079057,08,11
1,1,28079058,08,1
1,1,28079059,08,4
1,1,28079060,08,12
1,1,28079024,09,4
1,1,28079038,09,2
1,1,28079047,09,3
1,1,28079048,09,1
1,1,28079050,09,4
1,1,28079008,10,7
1,1,28079018,10,3
1,1,28079036,10,4
1,1,28079038,10,4
1,1,28079040,10,4
1,1,28079047,10,5
1,1,28079048,10,2
1,1,28079050,10,9
1,1,28079055,10,4
1,1,28079057,10,5
1,1,28079060,10,8
1,1,28079008,14,52
1,1,28079016,14,71
1,1,28079017,14,71
1,1,28079018,14,75
1,1,28079024,14,84
1,1,28079027,14,70
1,1,28079035,14,56
1,1,28079039,14,77
1,1,28079049,14,70
1,1,28079054,14,78
1,1,28079056,14,76
1,1,28079058,14,84
1,1,28079059,14,95
1,1,28079060,14,84
1,1,28079008,20,6.4
1,1,28079011,20,1.7
1,1,28079018,20,0.1
1,1,28079024,20,0.1
1,1,28079038,20,0.5
1,1,28079055,20,0.4
1,1,28079008,30,0.4
1,1,28079011,30,1.3
1,1,28079018,30,0.1
1,1,28079024,30,0.1
1,1,28079038,30,0.1
1,1,28079055,30,0.4
1,1,28079008,35,0.4
1,1,28079011,35,0.1
1,1,28079018,35,0.1
1,1,28079024,35,0.1
1,1,28079038,35,0.1
1,1,28079055,35,0.1
1,1,28079008,42,1.39
1,1,28079024,42,1.39
1,1,28079055,42,1.64
1,1,28079008,44,0.22
1,1,28079024,44,0.24
1,1,28079055,44,1.03
1,10,28079004,01,7
1,10,28079008,01,7
1,10,28079017,01,2
1,10,28079018,01,2
1,10,28079024,01,2
1,10,28079035,01,5
1,10,28079036,01,4
1,10,28079038,01,4
1,10,28079040,01,4
1,10,28079057,01,6
1,10,28079004,06,0.2
1,10,28079008,06,0.5
1,10,28079016,06,0.2
1,10,28079018,06,0.1
1,10,28079024,06,0.2
1,10,28079035,06,0.3
1,10,28079036,06,0.2
1,10,28079039,06,0.2
1,10,28079056,06,0.4
1,10,28079057,06,0.2
1,10,28079004,07,7
1,10,28079008,07,4
1,10,28079011,07,8
1,10,28079016,07,2
1,10,28079017,07,3
1,10,28079018,07,2
1,10,28079024,07,1
1,10,28079027,07,2
1,10,28079035,07,31
1,10,28079036,07,3
1,10,28079038,07,9
1,10,28079039,07,2
1,10,28079040,07,3
1,10,28079047,07,1
1,10,28079048,07,4
1,10,28079049,07,1
1,10,28079050,07,6
1,10,28079054,07,1
1,10,28079055,07,2
1,10,28079056,07,2
1,10,28079057,07,2
1,10,28079058,07,1
1,10,28079059,07,2
1,10,28079060,07,3
1,10,28079004,08,20
1,10,28079008,08,16
1,10,28079011,08,15
1,10,28079016,08,13
1,10,28079017,08,9
1,10,28079018,08,6
1,10,28079024,08,3
1,10,28079027,08,8
1,10,28079035,08,31
1,10,28079036,08,8
1,10,28079038,08,16
1,10,28079039,08,10
1,10,28079040,08,13
1,10,28079047,08,9
1,10,28079048,08,12
1,10,28079049,08,13
1,10,28079050,08,23
1,10,28079054,08,14
1,10,28079055,08,7
1,10,28079056,08,11
1,10,28079057,08,6
