day,hour,station,parameter,value
1,1,28079004,01,3
1,1,28079008,01,5
1,1,28079017,01,4
1,1,28079018,01,2
1,1,28079024,01,2
1,1,28079035,01,4
1,1,28079036,01,1
1,1,28079038,01,2
1,1,28079040,01,4
1,1,28079057,01,6
1,1,28079004,06,0.2
1,1,28079008,06,0.2
1,1,28079016,06,0.2
1,1,28079018,06,0.4
1,1,28079024,06,0.2
1,1,28079035,06,0.3
1,1,28079036,06,0.2
1,1,28079039,06,0.2
1,1,28079056,06,0.3
1,1,28079057,06,0.2
1,1,28079004,07,3
1,1,28079008,07,3
1,1,28079011,07,2
1,1,28079016,07,1
1,1,28079017,07,1
1,1,28079018,07,1
1,1,28079024,07,1
1,1,28079027,07,1
1,1,28079035,07,5
1,1,28079036,07,1
1,1,28079038,07,6
1,1,28079039,07,1
1,1,28079040,07,3
1,1,28079047,07,3
1,1,28079048,07,1
1,1,28079049,07,1
1,1,28079050,07,1
1,1,28079054,07,1
1,1,28079055,07,1
1,1,28079056,07,7
1,1,28079057,07,1
1,1,28079058,07,1
1,1,28079059,07,2
1,1,28079060,07,1
1,1,28079004,08,10
1,1,28079008,08,17
1,1,28079011,08,6
1,1,28079016,08,6
1,1,28079017,08,6
1,1,28079018,08,10
1,1,28079024,08,5
1,1,28079027,08,1
1,1,28079035,08,22
1,1,28079036,08,4
1,1,28079038,08,18
1,1,28079039,08,7
1,1,28079040,08,13
1,1,28079047,08,10
1,1,28079048,08,8
1,1,28079049,08,7
1,1,28079050,08,7
1,1,28079054,08,10
1,1,28079055,08,4
1,1,28079056,08,28
1,1,28079057,08,4
1,1,28079058,08,4
1,1,28079059,08,3
1,1,28079060,08,5
1,1,28079008,09,5
1,1,28079024,09,3
1,1,28079038,09,5
1,1,28079047,09,6
1,1,28079048,09,1
1,1,28079050,09,6
1,1,28079008,10,10
1,1,28079018,10,7
1,1,28079024,10,4
1,1,28079036,10,14
1,1,28079038,10,8
1,1,28079040,10,3
1,1,28079047,10,11
1,1,28079048,10,5
1,1,28079050,10,7
1,1,28079055,10,8
1,1,28079057,10,8
1,1,28079060,10,7
1,1,28079008,14,68
1,1,28079016,14,79
1,1,28079017,14,75
1,1,28079018,14,83
1,1,28079024,14,80
1,1,28079027,14,86
1,1,28079035,14,68
1,1,28079039,14,81
1,1,28079049,14,75
1,1,28079054,14,78
1,1,28079056,14,65
1,1,28079058,14,64
1,1,28079059,14,69
1,1,28079060,14,86
1,1,28079008,20,1.3
1,1,28079011,20,1.1
1,1,28079018,20,0.2
1,1,28079024,20,0.1
1,1,28079038,20,0.7
1,1,28079008,30,0.2
1,1,28079011,30,0.3
1,1,28079018,30,0.1
1,1,28079024,30,0.1
1,1,28079038,30,0.1
1,1,28079008,35,0.1
1,1,28079011,35,0.1
1,1,28079018,35,0.1
1,1,28079024,35,0.1
1,1,28079038,35,0.1
1,1,28079008,42,1.36
1,1,28079024,42,1.21
1,1,28079055,42,1.2
1,1,28079008,44,0.11
1,1,28079024,44,0.23
1,1,28079055,44,0.23
1,10,28079004,01,3
1,10,28079008,01,6
1,10,28079017,01,4
1,10,28079018,01,2
1,10,28079024,01,2
1,10,28079035,01,5
1,10,28079036,01,1
1,10,28079038,01,2
1,10,28079040,01,4
1,10,28079057,01,6
1,10,28079004,06,0.2
1,10,28079008,06,0.2
1,10,28079016,06,0.2
1,10,28079018,06,0.4
1,10,28079024,06,0.2
1,10,28079035,06,0.2
1,10,28079036,06,0.2
1,10,28079039,06,0.2
1,10,28079056,06,0.4
1,10,28079057,06,0.2
1,10,28079004,07,3
1,10,28079008,07,2
1,10,28079011,07,1
1,10,28079016,07,1
1,10,28079017,07,1
1,10,28079018,07,1
1,10,28079024,07,1
1,10,28079027,07,1
1,10,28079035,07,8
1,10,28079036,07,2
1,10,28079038,07,3
1,10,28079039,07,1
1,10,28079040,07,8
1,10,28079047,07,2
1,10,28079048,07,2
1,10,28079049,07,2
1,10,28079050,07,1
1,10,28079054,07,1
1,10,28079055,07,2
1,10,28079056,07,7
1,10,28079057,07,1
1,10,28079058,07,1
1,10,28079059,07,2
1,10,28079060,07,1
1,10,28079004,08,8
1,10,28079008,08,11
1,10,28079011,08,4
1,10,28079016,08,4
1,10,28079017,08,5
1,10,28079018,08,10
1,10,28079024,08,4
1,10,28079027,08,5
1,10,28079035,08,16
1,10,28079036,08,3
1,10,28079038,08,10
1,10,28079039,08,6
1,10,28079040,08,17
1,10,28079047,08,7
1,10,28079048,08,9
1,10,28079049,08,9
1,10,28079050,08,6
1,10,28079054,08,8
1,10,28079055,08,6
1,10,28079056,08,24
1,10,28079057,08,4
1,10,28079058,08,2
1,10,28079059,08,1
1,10,28079060,08,5
1,10,28079008,09,7
1,10,28079024,09,6
1,10,28079038,09,8
1,10,28079047,09,7
1,10,28079048,09,7
1,10,28079050,09,6
1,10,28079008,10,8
1,10,28079018,10,10
1,10,28079024,10,9
1,10,28079036,10,14
1,10,28079038,10,11
1,10,28079040,10,14
1,10,28079047,10,9
1,10,28079048,10,13
1,10,28079050,10,9
1,10,28079055,10,11
1,10,28079057,10,10
1,10,28079060,10,13
1,10,28079008,14,80
1,10,28079016,14,86
1,10,28079017,14,79
1,10,28079018,14,86
1,10,28079024,14,90
1,10,28079027,14,92
1,10,28079035,14,84
1,10,28079039,14,83
1,10,28079049,14,79
1,10,28079054,14,85
1,10,28079056,14,72
1,10,28079058,14,83
1,10,28079059,14,82
1,10,28079060,14,88
1,10,28079008,20,0.7
1,10,28079011,20,0.6
1,10,28079018,20,0.1
1,10,28079024,20,0.1
1,10,28079038,20,0.4
1,10,28079008,30,0.1
1,10,28079011,30,0.2
1,10,28079018,30,0.1
1,10,28079024,30,0.2
1,10,28079038,30,0.1
1,10,28079008,35,0.1
1,10,28079011,35,0.1
1,10,28079018,35,0.1
1,10,28079024,35,0.1
1,10,28079038,35,0.1
1,10,28079008,42,1.36
1,10,28079024,42,1.23
1,10,28079055,42,1.21
1,10,28079008,44,0.11
1,10,28079024,44,0.23
1,10,28079055,44,0.21
1,11,28079004,01,3
1,11,28079008,01,6
1,11,28079017,01,5
1,11,28079018,01,2
1,11,28079024,01,2
1,11,28079035,01,5
1,11,28079036,01,1
1,11,28079038,01,2
1,11,28079040,01,4
1,11,28079057,01,6
1,11,28079004,06,0.1
1,11,28079008,06,0.3
1,11,28079016,06,0.2
1,11,28079018,06,0.4
1,11,28079024,06,0.2
1,11,28079035,06,0.2
1,11,28079036,06,0.2
1,11,28079039,06,0.2
1,11,28079056,06,0.3
1,11,28079057,06,0.2
1,11,28079004,07,3
1,11,28079008,07,5
1,11,28079011,07,2
1,11,28079016,07,1
1,11,28079017,07,1
1,11,28079018,07,1
1,11,28079024,07,1
1,11,28079027,07,1
1,11,28079035,07,5
1,11,28079036,07,2
1,11,28079038,07,5
1,11,28079039,07,2
1,11,28079040,07,4
1,11,28079047,07,3
1,11,28079048,07,1
1,11,28079049,07,2
1,11,28079050,07,1
1,11,28079054,07,1
1,11,28079055,07,2
1,11,28079056,07,7
1,11,28079057,07,1
1,11,28079058,07,1
1,11,28079059,07,2
1,11,28079060,07,1
1,11,28079004,08,8
1,11,28079008,08,15
1,11,28079011,08,4
1,11,28079016,08,3
1,11,28079017,08,4
1,11,28079018,08,9
1,11,28079024,08,2
1,11,28079027,08,4
1,11,28079035,08,16
1,11,28079036,08,4
1,11,28079038,08,12
1,11,28079039,08,7
1,11,28079040,08,12
1,11,28079047,08,8
1,11,28079048,08,6
1,11,28079049,08,8
1,11,28079050,08,4
1,11,28079054,08,9
1,11,28079055,08,6
1,11,28079056,08,24
1,11,28079057,08,4
1,11,28079058,08,1
1,11,28079059,08,1
1,11,28079060,08,5
1,11,28079008,09,6
1,11,28079024,09,5
1,11,28079038,09,4
1,11,28079047,09,7
1,11,28079048,09,5
1,11,28079050,09,6
1,11,28079008,10,9
1,11,28079018,10,8
1,11,28079024,10,7
1,11,28079036,10,11
1,11,28079038,10,14
1,11,28079040,10,9
1,11,28079047,10,10
1,11,28079048,10,9
1,11,28079050,10,8
1,11,28079055,10,7
1,11,28079057,10,4
1,11,28079060,10,14
1,11,28079008,14,79
1,11,28079016,14,87
1,11,28079017,14,82
1,11,28079018,14,89
1,11,28079024,14,95
1,11,28079027,14,94
1,11,28079035,14,88
1,11,28079039,14,86
1,11,28079049,14,82
1,11,28079054,14,85
1,11,28079056,14,73
1,11,28079058,14,91
1,11,28079059,14,83
1,11,28079060,14,95
1,11,28079008,20,0.5
1,11,28079011,20,0.5
1,11,28079018,20,0.1
1,11,28079024,20,0.1
1,11,28079038,20,0.5
1,11,28079008,30,0.1
1,11,28079011,30,0.2
1,11,28079018,30,0.1
1,11,28079024,30,0.1
1,11,28079038,30,0.1
1,11,28079008,35,0.1
1,11,28079011,35,0.1
1,11,28079018,35,0.1
1,11,28079024,35,0.1
1,11,28079038,35,0.1
1,11,28079008,42,1.37
1,11,28079024,42,1.22
1,11,28079055,42,1.2
1,11,28079008,44,0.12
1,11,28079024,44,0.23
1,11,28079055,44,0.21
1,12,28079004,01,3
1,12,28079008,01,6
1,12,28079017,01,4
1,12,28079018,01,2
1,12,28079024,01,1
1,12,28079035,01,4
1,12,28079036,01,1
1,12,28079038,01,2
1,12,28079040,01,4
1,12,28079057,01,6
1,12,28079004,06,0.2
1,12,28079008,06,0.3
1,12,28079016,06,0.2
1,12,28079018,06,0.4
1,12,28079024,06,0.2
1,12,28079035,06,0.2
1,12,28079036,06,0.2
1,12,28079039,06,0.2
1,12,28079056,06,0.3
1,12,28079057,06,0.2
1,12,28079004,07,4
1,12,28079008,07,8
1,12,28079011,07,3
1,12,28079016,07,2
1,12,28079017,07,1
1,12,28079018,07,1
1,12,28079024,07,1
1,12,28079027,07,1
1,12,28079035,07,5
1,12,28079036,07,2
1,12,28079038,07,7
1,12,28079039,07,2
1,12,28079040,07,4
1,12,28079047,07,2
1,12,28079048,07,2
1,12,28079049,07,1
1,12,28079050,07,1
1,12,28079054,07,2
1,12,28079055,07,2
1,12,28079056,07,8
1,12,28079057,07,2
1,12,28079058,07,1
1,12,28079059,07,2
