day,hour,station,parameter,value
1,1,28079004,01,5
1,1,28079008,01,3
1,1,28079017,01,6
1,1,28079018,01,5
1,1,28079024,01,5
1,1,28079035,01,6
1,1,28079036,01,6
1,1,28079038,01,5
1,1,28079040,01,5
1,1,28079057,01,7
1,1,28079004,06,0.2
1,1,28079008,06,0.1
1,1,28079016,06,0.2
1,1,28079018,06,0.3
1,1,28079024,06,0.1
1,1,28079035,06,0.2
1,1,28079036,06,0.2
1,1,28079039,06,0.2
1,1,28079056,06,0.2
1,1,28079057,06,0.1
1,1,28079004,07,4
1,1,28079008,07,5
1,1,28079011,07,1
1,1,28079016,07,4
1,1,28079017,07,2
1,1,28079018,07,1
1,1,28079024,07,1
1,1,28079027,07,4
1,1,28079035,07,4
1,1,28079036,07,4
1,1,28079038,07,6
1,1,28079039,07,3
1,1,28079040,07,5
1,1,28079047,07,1
1,1,28079048,07,3
1,1,28079049,07,3
1,1,28079050,07,13
1,1,28079054,07,9
1,1,28079055,07,5
1,1,28079056,07,6
1,1,28079057,07,5
1,1,28079058,07,1
1,1,28079059,07,3
1,1,28079060,07,2
1,1,28079004,08,22
1,1,28079008,08,26
1,1,28079011,08,17
1,1,28079016,08,16
1,1,28079017,08,20
1,1,28079018,08,15
1,1,28079024,08,11
1,1,28079027,08,28
1,1,28079035,08,25
1,1,28079036,08,25
1,1,28079038,08,23
1,1,28079039,08,17
1,1,28079040,08,27
1,1,28079047,08,13
1,1,28079048,08,29
1,1,28079049,08,19
1,1,28079050,08,31
1,1,28079054,08,18
1,1,28079055,08,43
1,1,28079056,08,24
1,1,28079057,08,29
1,1,28079058,08,18
1,1,28079059,08,13
1,1,28079060,08,19
1,1,28079008,09,8
1,1,28079024,09,5
1,1,28079038,09,8
1,1,28079047,09,5
1,1,28079048,09,8
1,1,28079050,09,8
1,1,28079008,10,16
1,1,28079018,10,16
1,1,28079024,10,9
1,1,28079036,10,11
1,1,28079038,10,20
1,1,28079040,10,11
1,1,28079047,10,9
1,1,28079048,10,18
1,1,28079050,10,14
1,1,28079055,10,15
1,1,28079057,10,10
1,1,28079060,10,15
1,1,28079008,14,40
1,1,28079016,14,51
1,1,28079017,14,37
1,1,28079018,14,42
1,1,28079024,14,45
1,1,28079027,14,40
1,1,28079035,14,37
1,1,28079039,14,40
1,1,28079049,14,34
1,1,28079054,14,35
1,1,28079056,14,38
1,1,28079058,14,25
1,1,28079059,14,48
1,1,28079060,14,47
1,1,28079008,20,3.3
1,1,28079011,20,3.6
1,1,28079018,20,0.5
1,1,28079024,20,0.8
1,1,28079038,20,0.7
1,1,28079055,20,3.8
1,1,28079008,30,0.5
1,1,28079011,30,0.8
1,1,28079018,30,0.2
