day,hour,station,parameter,value
1,1,28079004,01,3
1,1,28079008,01,2
1,1,28079017,01,3
1,1,28079018,01,2
1,1,28079024,01,2
1,1,28079035,01,2
1,1,28079036,01,4
1,1,28079038,01,1
1,1,28079040,01,2
1,1,28079057,01,4
1,1,28079004,06,0.3
1,1,28079008,06,0.1
1,1,28079016,06,0.2
1,1,28079018,06,0.3
1,1,28079024,06,0.1
1,1,28079035,06,0.2
1,1,28079036,06,0.2
1,1,28079039,06,0.1
1,1,28079056,06,0.2
1,1,28079057,06,0.1
1,1,28079004,07,24
1,1,28079008,07,5
1,1,28079011,07,14
1,1,28079016,07,3
1,1,28079017,07,3
1,1,28079018,07,1
1,1,28079024,07,1
1,1,28079027,07,3
1,1,28079035,07,4
1,1,28079036,07,4
1,1,28079038,07,8
1,1,28079039,07,2
1,1,28079040,07,1
1,1,28079047,07,1
1,1,28079048,07,7
1,1,28079049,07,3
1,1,28079050,07,19
1,1,28079054,07,8
1,1,28079055,07,3
1,1,28079056,07,3
1,1,28079057,07,2
1,1,28079058,07,1
1,1,28079059,07,1
1,1,28079060,07,1
1,1,28079004,08,56
1,1,28079008,08,33
1,1,28079011,08,35
1,1,28079016,08,15
1,1,28079017,08,14
1,1,28079018,08,9
1,1,28079024,08,2
1,1,28079027,08,29
1,1,28079035,08,28
1,1,28079036,08,19
1,1,28079038,08,18
1,1,28079039,08,16
1,1,28079040,08,19
1,1,28079047,08,18
1,1,28079048,08,28
1,1,28079049,08,17
1,1,28079050,08,40
1,1,28079054,08,26
1,1,28079055,08,38
1,1,28079056,08,18
1,1,28079057,08,15
1,1,28079058,08,16
1,1,28079059,08,7
1,1,28079060,08,10
1,1,28079008,09,7
1,1,28079024,09,5
1,1,28079038,09,5
1,1,28079047,09,4
1,1,28079048,09,6
1,1,28079050,09,14
1,1,28079008,10,12
1,1,28079018,10,16
1,1,28079024,10,7
1,1,28079036,10,17
1,1,28079038,10,15
1,1,28079040,10,12
1,1,28079047,10,11
1,1,28079048,10,32
1,1,28079050,10,25
1,1,28079055,10,24
1,1,28079057,10,35
1,1,28079060,10,15
1,1,28079008,14,37
1,1,28079016,14,45
1,1,28079017,14,52
1,1,28079018,14,50
1,1,28079024,14,58
1,1,28079027,14,42
1,1,28079035,14,37
1,1,28079039,14,50
1,1,28079049,14,45
1,1,28079054,14,36
1,1,28079056,14,45
1,1,28079058,14,43
1,1,28079059,14,50
1,1,28079060,14,54
1,1,28079008,20,3.3
1,1,28079011,20,3.7
1,1,28079018,20,0.2
1,1,28079024,20,0.3
1,1,28079038,20,0.7
1,1,28079055,20,0.5
1,1,28079008,30,0.3
1,1,28079011,30,1.2
1,1,28079018,30,0.2
1,1,28079024,30,0.3
1,1,28079038,30,0.2
1,1,28079055,30,0.2
1,1,28079008,35,0.7
1,1,28079011,35,0.3
1,1,28079018,35,1
1,1,28079024,35,0.2
1,1,28079038,35,0.4
1,1,28079055,35,1
1,1,28079024,42,1.31
1,1,28079027,42,1.21
1,1,28079055,42,1.36
1,1,28079024,44,0.23
1,1,28079027,44,0.12
1,1,28079055,44,0.12
1,10,28079004,01,2
1,10,28079008,01,3
1,10,28079017,01,3
1,10,28079018,01,2
1,10,28079024,01,2
1,10,28079035,01,2
1,10,28079036,01,4
1,10,28079038,01,2
1,10,28079040,01,3
1,10,28079057,01,4
1,10,28079004,06,0.1
1,10,28079008,06,0.1
1,10,28079016,06,0.2
1,10,28079018,06,0.3
1,10,28079024,06,0.2
1,10,28079035,06,0.3
1,10,28079036,06,0.1
1,10,28079039,06,0.1
1,10,28079056,06,0.3
1,10,28079057,06,0.1
1,10,28079004,07,1
1,10,28079008,07,3
1,10,28079011,07,4
1,10,28079016,07,4
1,10,28079017,07,3
1,10,28079018,07,2
1,10,28079024,07,1
1,10,28079027,07,2
1,10,28079035,07,21
1,10,28079036,07,3
1,10,28079038,07,8
1,10,28079039,07,1
1,10,28079040,07,2
1,10,28079047,07,2
1,10,28079048,07,2
1,10,28079049,07,1
1,10,28079050,07,7
1,10,28079054,07,5
1,10,28079055,07,3
1,10,28079056,07,7
1,10,28079057,07,1
1,10,28079058,07,3
1,10,28079059,07,2
1,10,28079060,07,1
1,10,28079004,08,9
1,10,28079008,08,11
1,10,28079011,08,10
1,10,28079016,08,7
1,10,28079017,08,11
1,10,28079018,08,9
1,10,28079024,08,4
1,10,28079027,08,9
