day,hour,station,parameter,value
1,1,28079004,01,3
1,1,28079008,01,5
1,1,28079017,01,3
1,1,28079018,01,2
1,1,28079024,01,2
1,1,28079035,01,2
1,1,28079036,01,3
1,1,28079038,01,4
1,1,28079040,01,6
1,1,28079057,01,5
1,1,28079004,06,0.3
1,1,28079008,06,0.2
1,1,28079016,06,0.2
1,1,28079018,06,0.4
1,1,28079024,06,0.2
1,1,28079035,06,0.3
1,1,28079036,06,0.2
1,1,28079039,06,0.2
1,1,28079056,06,0.4
1,1,28079057,06,0.2
1,1,28079004,07,7
1,1,28079008,07,10
1,1,28079011,07,3
1,1,28079016,07,1
1,1,28079017,07,1
1,1,28079018,07,2
1,1,28079024,07,1
1,1,28079027,07,1
1,1,28079035,07,11
1,1,28079036,07,3
1,1,28079038,07,4
1,1,28079039,07,1
1,1,28079040,07,2
1,1,28079047,07,1
1,1,28079048,07,1
1,1,28079049,07,1
1,1,28079050,07,1
1,1,28079054,07,5
1,1,28079055,07,1
1,1,28079056,07,11
1,1,28079057,07,1
1,1,28079058,07,1
1,1,28079059,07,1
1,1,28079060,07,1
1,1,28079004,08,47
1,1,28079008,08,57
1,1,28079011,08,34
1,1,28079016,08,22
1,1,28079017,08,26
1,1,28079018,08,30
1,1,28079024,08,26
1,1,28079027,08,19
1,1,28079035,08,51
1,1,28079036,08,36
1,1,28079038,08,39
1,1,28079039,08,33
1,1,28079040,08,36
1,1,28079047,08,30
1,1,28079048,08,45
1,1,28079049,08,26
1,1,28079050,08,27
1,1,28079054,08,15
1,1,28079055,08,23
1,1,28079056,08,78
1,1,28079057,08,31
1,1,28079058,08,16
1,1,28079059,08,19
1,1,28079060,08,24
1,1,28079008,09,17
1,1,28079024,09,14
1,1,28079038,09,15
1,1,28079047,09,13
1,1,28079048,09,19
1,1,28079050,09,7
1,1,28079008,10,55
1,1,28079018,10,42
1,1,28079024,10,41
1,1,28079036,10,49
1,1,28079038,10,37
1,1,28079040,10,38
1,1,28079047,10,37
1,1,28079048,10,42
1,1,28079050,10,43
1,1,28079055,10,35
1,1,28079057,10,53
1,1,28079060,10,41
1,1,28079008,14,51
1,1,28079016,14,75
1,1,28079017,14,72
1,1,28079018,14,64
1,1,28079024,14,71
1,1,28079027,14,83
1,1,28079035,14,48
1,1,28079039,14,54
1,1,28079049,14,57
1,1,28079054,14,77
1,1,28079056,14,27
1,1,28079058,14,60
1,1,28079059,14,64
1,1,28079060,14,78
1,1,28079008,20,4.6
1,1,28079018,20,1
1,1,28079024,20,1
1,1,28079038,20,2.9
1,1,28079055,20,1.4
1,1,28079008,30,0.8
1,1,28079011,30,2
1,1,28079018,30,0.1
1,1,28079024,30,0.6
1,1,28079038,30,0.2
1,1,28079055,30,0.2
1,1,28079008,35,1.1
1,1,28079011,35,0.9
1,1,28079018,35,0.7
1,1,28079024,35,0.6
1,1,28079038,35,0.7
1,1,28079055,35,0.9
1,1,28079024,42,1.55
1,1,28079027,42,1.2
1,1,28079055,42,1.27
1,1,28079024,44,0.29
1,1,28079027,44,0.14
1,1,28079055,44,0.05
1,10,28079004,01,3
1,10,28079008,01,3
1,10,28079017,01,4
1,10,28079018,01,3
1,10,28079024,01,3
1,10,28079035,01,4
1,10,28079036,01,5
1,10,28079038,01,3
1,10,28079040,01,4
1,10,28079057,01,5
1,10,28079004,06,0.3
1,10,28079008,06,0.4
1,10,28079016,06,0.3
1,10,28079018,06,0.5
1,10,28079024,06,0.3
1,10,28079035,06,0.4
1,10,28079036,06,0.3
1,10,28079039,06,0.3
1,10,28079056,06,0.5
1,10,28079057,06,0.2
1,10,28079004,07,19
1,10,28079008,07,43
1,10,28079011,07,12
1,10,28079016,07,9
1,10,28079017,07,11
1,10,28079018,07,16
1,10,28079024,07,10
1,10,28079027,07,12
1,10,28079035,07,28
1,10,28079036,07,21
1,10,28079038,07,65
1,10,28079039,07,6
1,10,28079040,07,23
1,10,28079047,07,25
1,10,28079048,07,11
1,10,28079049,07,12
1,10,28079050,07,7
1,10,28079054,07,34
1,10,28079055,07,19
1,10,28079056,07,45
1,10,28079057,07,8
1,10,28079058,07,2
1,10,28079059,07,7
1,10,28079060,07,9
1,10,28079004,08,60
1,10,28079008,08,87
1,10,28079011,08,55
1,10,28079016,08,51
1,10,28079017,08,55
1,10,28079018,08,58
1,10,28079024,08,47
1,10,28079027,08,41
1,10,28079035,08,72
1,10,28079036,08,61
1,10,28079038,08,83
1,10,28079039,08,63
1,10,28079040,08,70
1,10,28079047,08,73
1,10,28079048,08,49
1,10,28079049,08,68
1,10,28079050,08,41
1,10,28079054,08,54
1,10,28079055,08,53
1,10,28079056,08,82
1,10,28079057,08,38
1,10,28079058,08,8
1,10,28079059,08,27
1,10,28079060,08,59
1,10,28079008,09,20
1,10,28079024,09,13
1,10,28079038,09,26
1,10,28079047,09,18
1,10,28079048,09,20
1,10,28079050,09,2
1,10,28079008,10,47
1,10,28079018,10,43
1,10,28079024,10,38
1,10,28079036,10,56
1,10,28079038,10,83
1,10,28079040,10,60
1,10,28079047,10,67
1,10,28079048,10,58
1,10,28079050,10,51
1,10,28079055,10,44
1,10,28079057,10,53
1,10,28079060,10,43
1,10,28079008,14,24
1,10,28079016,14,43
1,10,28079017,14,45
1,10,28079018,14,40
1,10,28079024,14,53
1,10,28079027,14,48
1,10,28079035,14,33
1,10,28079039,14,36
1,10,28079049,14,29
1,10,28079054,14,37
1,10,28079056,14,30
1,10,28079058,14,81
1,10,28079059,14,58
1,10,28079060,14,53
1,10,28079008,20,6.2
1,10,28079011,20,13.6
1,10,28079018,20,1.3
1,10,28079024,20,1.7
1,10,28079038,20,7.1
1,10,28079055,20,1.7
1,10,28079008,30,1.8
1,10,28079011,30,1.8
1,10,28079018,30,0.2
1,10,28079024,30,0.7
1,10,28079038,30,0.6
1,10,28079055,30,0.2
1,10,28079008,35,1.8
1,10,28079011,35,0.8
1,10,28079018,35,1
1,10,28079024,35,0.6
1,10,28079038,35,1.1
1,10,28079055,35,0.3
1,10,28079024,42,1.39
1,10,28079027,42,1.2
1,10,28079055,42,1.3
1,10,28079024,44,0.29
1,10,28079027,44,0.13
1,10,28079055,44,0.05
1,11,28079004,01,5
1,11,28079008,01,2
1,11,28079017,01,3
1,11,28079018,01,3
1,11,28079024,01,3
1,11,28079035,01,3
1,11,28079036,01,4
1,11,28079038,01,2
1,11,28079040,01,3
1,11,28079057,01,5
1,11,28079004,06,0.3
1,11,28079008,06,0.3
1,11,28079016,06,0.3
1,11,28079018,06,0.4
1,11,28079024,06,0.3
1,11,28079035,06,0.3
1,11,28079036,06,0.3
1,11,28079039,06,0.2
1,11,28079056,06,0.4
1,11,28079057,06,0.2
1,11,28079004,07,15
1,11,28079008,07,26
1,11,28079011,07,7
1,11,28079016,07,6
1,11,28079017,07,3
1,11,28079018,07,8
1,11,28079024,07,6
1,11,28079027,07,4
1,11,28079035,07,21
1,11,28079036,07,16
1,11,28079038,07,31
1,11,28079039,07,3
1,11,28079040,07,6
1,11,28079047,07,12
1,11,28079048,07,7
1,11,28079049,07,2
1,11,28079050,07,4
1,11,28079054,07,16
1,11,28079055,07,7
1,11,28079056,07,27
1,11,28079057,07,6
1,11,28079058,07,2
1,11,28079059,07,4
1,11,28079060,07,3
1,11,28079004,08,51
1,11,28079008,08,71
1,11,28079011,08,39
1,11,28079016,08,34
1,11,28079017,08,23
1,11,28079018,08,36
1,11,28079024,08,31
1,11,28079027,08,23
1,11,28079035,08,59
1,11,28079036,08,47
1,11,28079038,08,54
1,11,28079039,08,38
1,11,28079040,08,33
1,11,28079047,08,49
1,11,28079048,08,37
1,11,28079049,08,38
1,11,28079050,08,27
1,11,28079054,08,33
1,11,28079055,08,30
1,11,28079056,08,66
1,11,28079057,08,22
1,11,28079058,08,8
1,11,28079059,08,17
1,11,28079060,08,30
1,11,28079008,09,17
1,11,28079024,09,11
1,11,28079038,09,17
1,11,28079047,09,13
1,11,28079048,09,4
1,11,28079050,09,11
1,11,28079008,10,39
1,11,28079018,10,37
1,11,28079024,10,36
1,11,28079036,10,34
1,11,28079038,10,47
1,11,28079040,10,36
1,11,28079047,10,41
1,11,28079048,10,14
1,11,28079050,10,40
1,11,28079055,10,27
1,11,28079057,10,32
1,11,28079060,10,27
1,11,28079008,14,44
1,11,28079016,14,67
1,11,28079017,14,79
1,11,28079018,14,65
1,11,28079024,14,73
1,11,28079027,14,82
1,11,28079035,14,52
1,11,28079039,14,59
1,11,28079049,14,65
1,11,28079054,14,63
1,11,28079056,14,46
1,11,28079058,14,90
1,11,28079059,14,82
1,11,28079060,14,77
1,11,28079008,20,7
1,11,28079011,20,12.8
1,11,28079018,20,1.4
1,11,28079024,20,2
1,11,28079038,20,7.5
1,11,28079055,20,2.6
1,11,28079008,30,1.7
1,11,28079011,30,1.6
1,11,28079018,30,0.2
1,11,28079024,30,0.7
1,11,28079038,30,0.6
1,11,28079055,30,0.2
1,11,28079008,35,2
1,11,28079011,35,0.5
1,11,28079018,35,0.4
1,11,28079024,35,0.8
1,11,28079038,35,1.3
1,11,28079055,35,0.3
1,11,28079024,42,1.37
1,11,28079027,42,1.18
1,11,28079055,42,1.26
1,11,28079024,44,0.27
1,11,28079027,44,0.13
1,11,28079055,44,0.04
1,12,28079004,01,3
1,12,28079008,01,2
1,12,28079017,01,3
1,12,28079018,01,3
1,12,28079024,01,3
1,12,28079035,01,3
1,12,28079036,01,4
1,12,28079038,01,2
1,12,28079040,01,3
1,12,28079057,01,6
1,12,28079004,06,0.3
1,12,28079008,06,0.2
1,12,28079016,06,0.2
1,12,28079018,06,0.4
1,12,28079024,06,0.3
1,12,28079035,06,0.2
1,12,28079036,06,0.2
1,12,28079039,06,0.2
1,12,28079056,06,0.4
1,12,28079057,06,0.2
1,12,28079004,07,20
1,12,28079008,07,18
1,12,28079011,07,9
1,12,28079016,07,4
1,12,28079017,07,4
1,12,28079018,07,7
1,12,28079024,07,7
1,12,28079027,07,1
1,12,28079035,07,14
1,12,28079036,07,8
1,12,28079038,07,28
1,12,28079039,07,4
1,12,28079040,07,4
1,12,28079047,07,8
1,12,28079048,07,15
