"","month","station","SO2_1","CO_6","NO_7","NO2_8","PM2.5_9","PM10_10","O3_14","TOL_20","BEN_30","EBE_35","TCH_42","NMHC_44"
"1","01",28079004,8.70153637596023,0.534605827874407,76.5084707476847,50.0024847526542,0,0,0,0,0,0,0,0
"2","01",28079008,13.0188724319159,0.502816901408451,62.0827175208582,62.1339690107271,13.6223984142716,20.4576555023923,19.5567502986858,5.96283929858275,1.35062409985598,1.46998078770413,1.51417789757412,0.216984501347709
"3","01",28079011,0,0,49.8120654855349,55.9055842117067,0,0,0,5.30473815461347,2.29286199864038,1.05073746312684,0,0
"4","01",28079016,0,0.463032750112158,42.4131360681462,53.9612194575207,0,0,23.2887592551043,0,0,0,0,0
"5","01",28079017,7.19847156664419,0,86.803683737646,59.5869272237197,0,0,20.6180633565491,0,0,0,0,0
"6","01",28079018,6.29614604462475,0.500247191011236,46.6490557553957,49.3464478417266,0,17.8753668999774,24.0739658273381,2.69434702353484,0.593440736478711,0.553545119705341,0,0
"7","01",28079024,3.93271827182718,0.319972826086957,23.2909458548641,33.6409795551561,9.88157303370786,12.8632596685083,30.2541038902631,1.67854630715123,0.544173505275498,0.551113716295428,1.4053547948311,0.20665306122449
"8","01",28079027,0,0,38.7911619560341,47.7862270076267,0,0,25.5855410866637,0,0,0,1.46808818579603,0.217482329182094
"9","01",28079035,9.83198562443845,0.516576940331987,52.7751572327044,55.6325247079964,0,0,19.727170742652,0,0,0,0,0
"10","01",28079036,10.510208660534,0.497231600270088,49.2801704800359,51.4506505159264,0,16.9638770473413,0,0,0,0,0,0
"11","01",28079038,9.18357271095153,0,62.5817447858264,58.6093294460641,12.4707955689829,18.6585201793722,0,5.27570621468927,1.08070134149212,1.05194071983063,0,0
"12","01",28079039,0,0.544257136435154,70.3463183967575,60.3053366358928,0,0,24.3148064806481,0,0,0,0,0
"13","01",28079040,6.4088868940754,0,38.1197577932272,52.910966584436,0,16.016880486158,0,0,0,0,0,0
"14","01",28079047,0,0,49.8691358024691,52.2287317620651,12.7655155759478,18.7460103394021,0,0,0,0,0,0
"15","01",28079048,0,0,38.7105676463989,51.436616558223,9.756285785412,16.9802202742189,0,0,0,0,0,0
"16","01",28079049,0,0,33.8811456923771,44.3687415426252,0,0,22.1720018034265,0,0,0,0,0
"17","01",28079050,0,0,55.0474344355758,58.203602371181,11.315374841169,20.8856364874064,0,0,0,0,0,0
"18","01",28079054,0,0,50.5241862567812,47.2391500904159,0,0,27.5014702555983,0,0,0,0,0
"19","01",28079055,0,0,51.7960969044415,55.4385374607447,0,15.134692962797,0,2.52922831777828,0.858098271155596,0.701799134593487,1.63168087971275,0.310222172351885
"20","01",28079056,0,0.621239335428828,85.6834986474301,67.775473399459,0,0,22.4593623709026,0,0,0,0,0
"21","01",28079057,10.0349854227405,0.434292134831461,41.3319091522375,51.5598021582734,0,14.3736559139785,0,0,0,0,0,0
"22","01",28079058,0,0,13.5270361229527,24.2305966801256,0,0,29.5070770613345,0,0,0,1.78773954116059,0.366774628879892
"23","01",28079059,0,0,26.0944032366824,30.5,0,0,30.6677144140099,0,0,0,0,0
"24","01",28079060,0,0,34.4004930524428,48.3379650380995,0,13.5642232683255,31.818447037702,0,0,0,0,0
"25","02",28079004,7.5982800982801,0.438684339715268,46.781487846796,48.2560766020133,0,0,0,0,0,0,0,0
"26","02",28079008,12.1886932804364,0.451797669228862,38.8582755203171,52.8251176616299,11.8127448419953,19.9569093610698,31.0668813475353,3.85618286285286,0.963677130044843,1.04541604384654,1.41018067846608,0.186847345132743
"27","02",28079011,0,0,31.8208588957055,49.401963190184,0,0,0,4.30509190263289,2.02332339791356,0.858857142857143,0,0
"28","02",28079016,0,0.391713655307673,23.3673369298676,45.1763119176067,0,0,35.5062515322383,0,0,0,0,0
"29","02",28079017,6.28058968058968,0,47.6860093434964,46.2714531595771,0,0,34.5753762644954,0,0,0,0,0
"30","02",28079018,4.91891891891892,0.435731827111984,23.7764676983542,40.9240972733972,0,16.09936055091,38.6031434184676,1.61536548980607,0.396109045848823,0.421938522558255,0,0
"31","02",28079024,3.05914786967419,0.266958917835671,10.4666833667335,24.5553607214429,7.92932330827068,12.3237967914439,45.527359437751,1.05270999229386,0.496660673002826,0.412332990750257,1.31144407977783,0.166377177480434
"32","02",28079027,0,0,21.5877300613497,38.9538650306748,0,0,38.759204712813,0,0,0,1.40950904392765,0.208789221114803
"33","02",28079035,9.45944609297725,0.434298331697743,31.5971634735009,48.1776561333665,0,0,29.2633775159548,0,0,0,0,0
"34","02",28079036,10.0615950920245,0.41272682687592,27.1908265881776,42.9119450576404,0,16.168260976208,0,0,0,0,0,0
"35","02",28079038,6.35984290623466,0,38.6488474742521,50.2775870524767,10.5911100196464,18.1087917485265,0,3.27454361054767,0.610790273556231,0.6802738336714,0,0
"36","02",28079039,0,0.410312576913611,38.4969158647915,46.7806563039724,0,0,38.9550147492625,0,0,0,0,0
"37","02",28079040,5.89837997054492,0,22.7262021589794,44.2701177625123,0,15.4992625368732,0,0,0,0,0,0
"38","02",28079047,0,0,26.8979340875553,43.4220363994097,10.1075030750308,17.4502952755906,0,0,0,0,0,0
"39","02",28079048,0,0,21.6924784217016,44.7070283600493,8.84476801579467,16.8156465942744,0,0,0,0,0,0
"40","02",28079049,0,0,15.5644488092315,34.59292904493,0,0,36.6960471397005,0,0,0,0,0
"41","02",28079050,0,0,39.9179639238942,52.3276501111935,9.76258637709773,19.5915040750803,0,0,0,0,0,0
