"","date","SO2_1","CO_6","NO_7","NO2_8","PM2.5_9","PM10_10","O3_14","TOL_20","BEN_30","EBE_35","TCH_42","NMHC_44","temp_avg","temp_max","temp_min","precipitation","humidity","wind_avg_speed"
"721",2011-01-11,8.97083333333333,0.320833333333333,16.4208695652174,38.4904347826087,6.32638888888889,11.5555555555556,36.0298507462687,1.95625,0.738888888888889,0.793055555555556,1.3375,0.166,11.3,15,5.7,1.78,77,15.4
"793",2011-01-12,14.65,0.775833333333333,125.766956521739,83.4913194444444,18.7083333333333,35.4878048780488,9.48059701492537,7.87638888888889,1.79305555555556,2.35625,1.70716666666667,0.294166666666667,9.1,16,3.1,0,83,3.1
"865",2011-01-13,15.3208333333333,0.815416666666667,142.704861111111,79.1840277777778,22.4583333333333,39.1909722222222,6.04166666666667,10.0074074074074,2.25703703703704,3.22518518518519,1.657,0.285,6.6,13.3,1.9,0,92,3.5
"937",2011-01-14,16.1518987341772,0.805416666666667,131.144097222222,78.8663194444444,21.6666666666667,37.5034722222222,6.44047619047619,8.8625,2.02847222222222,2.59791666666667,1.63866666666667,0.274083333333333,6.9,15.3,0.7,0,84,5
"1009",2011-01-15,14.375,0.644583333333333,85.0730434782609,66.0591304347826,15.6363636363636,25.1631944444444,10.7761194029851,5.78169014084507,1.53611111111111,1.57708333333333,1.52655462184874,0.234117647058824,6.8,15.8,0.3,0,81,3.7
"1081",2011-01-16,12.4416666666667,0.520416666666667,50.7395833333333,56.4739583333333,15.0208333333333,21.5104166666667,14.0297619047619,3.36180555555556,1.10208333333333,0.902777777777778,1.45191666666667,0.20625,6.3,14.8,0,0,83,4.8
"1153",2011-01-17,13.425,0.724166666666667,116.491319444444,77.0642361111111,32.951048951049,46.1875,4.76190476190476,7.27642857142857,1.97642857142857,2.07857142857143,1.736,0.261666666666667,4.3,6,0.9,0,97,2.6
"1225",2011-01-18,15.9458333333333,0.7675,111.732638888889,80.5694444444444,23.1805555555556,35.6909722222222,6.47916666666667,7.58611111111111,1.97222222222222,2.10555555555556,1.56716666666667,0.249166666666667,6.9,12,3,0,91,2.6
"1297",2011-01-19,14.6625,0.65875,108.328125,77.2204861111111,22.5416666666667,38.6666666666667,6.16071428571429,8.40633802816901,1.59647887323944,2.44014084507042,1.68091666666667,0.28175,6.8,11,3.6,0,89,2.8
"1369",2011-01-20,13.8375,0.493333333333333,53.9166666666667,56.9045138888889,10.2430555555556,18.78125,17.0843373493976,4.16357142857143,1.01857142857143,1.08785714285714,1.455,0.213416666666667,6.7,12.1,2.2,0,77,6.3
"1441",2011-01-21,12.7238493723849,0.33375,12.1286956521739,39.1634782608696,4.54861111111111,10.9583333333333,45.4208955223881,1.92042253521127,0.608450704225352,0.630985915492958,1.36466666666667,0.200166666666667,2.7,7,-2,0,32,15
"1513",2011-01-22,12.85,0.328333333333333,10.3854166666667,34.7586805555556,4.8125,8.98958333333333,46.9196428571429,1.41041666666667,0.514583333333333,0.486111111111111,1.36033333333333,0.203166666666667,0.9,7.2,-4,0,35,11.9
"1585",2011-01-23,12.8041666666667,0.34875,12.4635416666667,34.0295138888889,6.16666666666667,10.0590277777778,41.5327380952381,1.25882352941176,0.640441176470588,0.436029411764706,1.37475,0.202416666666667,-0.2,5.4,-4.1,0,45,9.1
"1657",2011-01-24,14.0882352941176,0.509166666666667,48.9493006993007,62.1311188811189,9.22916666666667,17.7368421052632,28.9575757575758,2.82923076923077,1.11230769230769,0.839230769230769,1.43882352941176,0.233949579831933,0.5,8.8,-6,0,49,5
"1729",2011-01-25,16.175,0.639583333333333,68.7357142857143,77.1229946524064,13.0902777777778,26.5208333333333,18.8184523809524,4.11285714285714,1.55142857142857,1.16357142857143,1.50116666666667,0.256666666666667,-0.2,8.7,-6,0,61,5.2
"1801",2011-01-26,14.4579831932773,0.600418410041841,66.8417391304348,76.1391304347826,11.6643356643357,23.4146341463415,17.166163141994,4.0294964028777,1.45611510791367,1.22014388489209,1.49796610169492,0.254491525423729,0.6,9.4,-5.1,0,73,5
"1873",2011-01-27,11.5,0.473333333333333,40.8987783595113,63.3176265270506,11.3402777777778,17.8125,13.8468468468468,3.44,1.2007299270073,1.04244604316547,1.46731092436975,0.231848739495798,2.7,6,-1.2,0,90,5.9
"1945",2011-01-28,8.52301255230125,0.339748953974895,17.9703832752613,47.8069565217391,6.9375,9.59375,31.4328358208955,3.11333333333333,1.24083333333333,1.05833333333333,1.38533333333333,0.201008403361345,5.6,9.7,3.3,2.29,88,12.4
"2017",2011-01-29,7.54583333333333,0.332083333333333,14.2118055555556,37.6267361111111,7.61111111111111,11.1041666666667,33.2380952380952,3.0406015037594,1.36541353383459,0.843609022556391,1.37516666666667,0.19825,5,9,1.4,4.06,83,7.8
"2085",2011-01-30,8.37916666666667,0.3975,15.7673611111111,48.1163194444444,11.125,13.6909722222222,22.3482142857143,3.96528925619835,1.90826446280992,1.18512396694215,1.4725,0.215166666666667,3,6.9,0,0,89,3.5
"2151",2011-01-31,10.525,0.435833333333333,24.8055555555556,50.8315972222222,9.28472222222222,13.5520833333333,30.1577380952381,3.67218045112782,1.57293233082707,1.02932330827068,1.39591666666667,0.206916666666667,3.5,8,-0.2,0.76,68,8.7
"7",2011-02-01,10.7625,0.469166666666667,34.7083333333333,57.6145833333333,12.0416666666667,18.1180555555556,27.5505952380952,3.30629921259843,1.3488188976378,0.883464566929134,1.4327731092437,0.217142857142857,2.7,10,-3,0,66,9.3
"79",2011-02-02,14.2666666666667,0.6125,69.4756097560976,79.1391304347826,14.9513888888889,25.7638888888889,22.5297619047619,3.5712962962963,1.21388888888889,1.06111111111111,1.42478991596639,0.231176470588235,5.1,13,-2,0,55,8.1
"151",2011-02-03,17.0416666666667,0.8,137.237847222222,105.022569444444,22.6666666666667,41.4459930313589,9.38690476190476,6.74108527131783,1.95038759689922,2.11395348837209,1.55512605042017,0.281512605042017,4.4,14.6,-3,0,63,4.8
"223",2011-02-04,17.1291666666667,0.8475,146.15625,103.123263888889,22.5704225352113,41.7132867132867,10.2767857142857,8.09510489510489,2.25208333333333,2.53006993006993,1.53583333333333,0.304166666666667,5.6,16,-2,0,66,4.3
"295",2011-02-05,14.7291666666667,0.6325,75.7673611111111,84.2152777777778,16.375,27.8263888888889,14.172619047619,4.99574468085106,1.5993006993007,1.54475524475524,1.45625,0.260666666666667,6.7,19.5,-2,0,57,3
"367",2011-02-06,14.8208333333333,0.6575,80.7239583333333,77.96875,15.7916666666667,25.3159722222222,18.610119047619,4.45352112676056,1.56478873239437,1.41901408450704,1.43933333333333,0.251416666666667,7.3,19.3,-1,0,57,4.3
"439",2011-02-07,16.4625,0.721666666666667,104.801393728223,89.6173913043478,15.9154929577465,34.3414634146341,15.4732142857143,5.53383458646617,1.53157894736842,1.79398496240602,1.4663025210084,0.260756302521008,7.1,18.8,-1.2,0,55,3.9
"511",2011-02-08,14.6291666666667,0.6225,86.8673647469459,87.7591623036649,18.125,36.9409722222222,14.6149253731343,6.87226277372263,1.4169014084507,2.03521126760563,1.4646218487395,0.272941176470588,5.9,16,-2,0,59,4.8
