"","hour","station","SO2_1","CO_6","NO_7","NO2_8","PM2.5_9","PM10_10","O3_14","TOL_20","BEN_30","EBE_35","TCH_42","NMHC_44"
"1",1,28079004,5.71826484018265,0.425744388456253,43.3251141552511,49.5164383561644,0,0,0,0,0,0,0,0
"2",1,28079008,8.34285714285714,0.424838709677419,32.7204797047971,58.4026752767528,13.9779962546816,24.0494454713494,31.4578535237218,4.56752941176471,1.01439182915506,1.17114937180084,1.52395286195286,0.208270524899058
"3",1,28079011,0,0,22.6674280493376,44.1228871630882,0,0,0,5.30088126159555,1.85641969627243,1.11400921658986,0,0
"4",1,28079016,0,0.350389729481889,17.7198354661792,42.9159049360146,0,0,39.2170932358318,0,0,0,0,0
"5",1,28079017,6.75251601097896,0,52.9401279707495,51.4885740402194,0,0,32,0,0,0,0,0
"6",1,28079018,4.20092378752887,0.406549815498155,22.0036985668054,42.9218677762367,0,21.2935438922434,37.3164206642066,2.30470145745181,0.403185011709602,0.437910028116214,0,0
"7",1,28079024,2.75333027101516,0.273238139106403,11.895632183908,29.9466666666667,9.97975149562816,17.9888785912882,44.8892463235294,1.34084778420039,0.451664254703328,0.492540904716073,1.32128217126813,0.170870379036032
"8",1,28079027,0,0,16.4669100867184,41.8909173893199,0,0,38.0767824497258,0,0,0,1.38939862542955,0.189579037800687
"9",1,28079035,7.01212686567164,0.436577490774908,29.8589921405455,50.5968562182154,0,0,34.9990766389658,0,0,0,0,0
"10",1,28079036,6.63485477178423,0.337459584295612,19.6274781005071,41.830336560627,0,22.6992585727525,0,0,0,0,0,0
"11",1,28079038,4.18975765889346,0,31.3557384545039,47.188385916781,12.4294990723562,21.1072410632447,0,4.36139032409582,0.698737137511693,0.870330188679245,0,0
"12",1,28079039,0,0.411446886446886,36.936928702011,48.6170018281536,0,0,40.4977168949772,0,0,0,0,0
"13",1,28079040,4.64832645575424,0,18.2243119266055,45.451376146789,0,21.0937211449677,0,0,0,0,0,0
"14",1,28079047,0,0,30.0461187214612,46.2698630136986,12.8136217211229,22.0622710622711,0,0,0,0,0,0
"15",1,28079048,0,0,15.9042163153071,42.1237396883593,11.1363422661025,21.1831706183171,0,0,0,0,0,0
"16",1,28079049,0,0,22.4185727355901,36.9167429094236,0,0,37.5892857142857,0,0,0,0,0
"17",1,28079050,0,0,21.0686813186813,44.8864468864469,10.7306238185255,20.1299672744273,0,0,0,0,0,0
"18",1,28079054,0,0,24.4663923182442,42.6268861454047,0,0,42.3484640073361,0,0,0,0,0
"19",1,28079055,0,0,24.4196347031963,50.4365296803653,0,21.6588613406795,0,2.64310344827586,0.660755667506297,0.669168765743073,1.50818937644342,0.258133086876155
"20",1,28079056,0,0.465135507579237,46.4834558823529,61.7964154411765,0,0,30.7414903403864,0,0,0,0,0
"21",1,28079057,7.18455915943353,0.31790293040293,13.5744292237443,37.427397260274,0,21.0712654179991,0,0,0,0,0,0
"22",1,28079058,0,0,3.39074667888227,17.6555199267064,0,0,42.0857404860156,0,0,0,1.61870669745958,0.310993071593534
"23",1,28079059,0,0,11.6730769230769,27.2065018315018,0,0,45.6116460339294,0,0,0,0,0
"24",1,28079060,0,0,12.6750342309448,36.2341396622547,0,19.9949656750572,49.4394147233653,0,0,0,0,0
"25",2,28079004,5.45251141552511,0.37915712322492,38.7181361352216,43.035175879397,0,0,0,0,0,0,0,0
"26",2,28079008,7.90004606172271,0.365914325195762,26.496081143384,50.1129552789304,12.2240411599626,21.4794457274827,33.4042357274401,4.10349221330816,0.830190431955411,1.0153165735568,1.51095494283793,0.187182246133154
"27",2,28079011,0,0,14.5993604385564,35.1585198720877,0,0,0,4.77148817802503,1.56637574644006,0.925678785089738,0,0
"28",2,28079016,0,0.304034846400734,12.2033820840951,35.6106032906764,0,0,40.7421124828532,0,0,0,0,0
"29",2,28079017,6.49244851258581,0,43.8610603290676,43.6997257769653,0,0,33.3754015603488,0,0,0,0,0
"30",2,28079018,4.05588914549654,0.372693726937269,19.1091077207582,37.2343966712899,0,19.0320037105751,37.7864391143911,2.04223690420009,0.338097469540769,0.417299578059072,0,0
"31",2,28079024,2.69527306103717,0.266774045098942,10.8447404685347,26.5094166283877,9.4949402023919,17.0722891566265,44.2324299494718,1.37327544621322,0.440279787747226,0.491903614457831,1.32644829199813,0.170088909686476
"32",2,28079027,0,0,14.0506617982656,35.0963030579644,0,0,39.0635283363803,0,0,0,1.38611683848797,0.185489690721649
"33",2,28079035,6.53693444136657,0.369866174434702,25.0494226327945,44.4110854503464,0,0,36.5932594644506,0,0,0,0,0
"34",2,28079036,5.78321033210332,0.29413123844732,14.7578413284133,35.1941881918819,0,20.477030162413,0,0,0,0,0,0
"35",2,28079038,3.78774016468435,0,22.1989935956084,38.8366880146386,10.6350974930362,18.4030261348006,0,3.57803847958705,0.496401869158879,0.733883129123468,0,0
"36",2,28079039,0,0.331501831501831,23.1960694698355,38.353747714808,0,0,43.2305936073059,0,0,0,0,0
"37",2,28079040,4.46950939935809,0,14.0967889908257,38.9738532110092,0,19.3301104972376,0,0,0,0,0,0
"38",2,28079047,0,0,23.1936957514847,39.6564641388762,11.4855039116429,19.8563586459286,0,0,0,0,0,0
"39",2,28079048,0,0,11.6992205410362,35.4021091242549,9.9590780809031,19.5151374010247,0,0,0,0,0,0
"40",2,28079049,0,0,19.1838975297347,32.8316559926807,0,0,37.7108874656908,0,0,0,0,0
"41",2,28079050,0,0,14.0384791571232,36.1786532295007,9.48653755314124,17.9939195509822,0,0,0,0,0,0
